StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts high risk.,I trust the high risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts no risk.,I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts medium risk.,I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts low risk.,I trust the low risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021021""}","{""ImportId"":""QID1211021020""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021014""}","{""ImportId"":""QID1211021006""}","{""ImportId"":""QID1211020965""}","{""ImportId"":""QID1211021018""}","{""ImportId"":""QID1211021019""}","{""ImportId"":""QID1211021022""}","{""ImportId"":""QID1211020964""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211020989""}","{""ImportId"":""QID1211020990""}","{""ImportId"":""QID1211020992""}","{""ImportId"":""QID1211020993""}","{""ImportId"":""QID1211020994""}","{""ImportId"":""QID1211020995""}","{""ImportId"":""QID1211020996""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211020998""}","{""ImportId"":""QID1211020999""}","{""ImportId"":""QID1211021001""}","{""ImportId"":""QID1211021002""}","{""ImportId"":""QID1211021003""}","{""ImportId"":""QID1211021004""}","{""ImportId"":""QID1211021005""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021029""}","{""ImportId"":""QID1211021030""}","{""ImportId"":""QID1211021033""}","{""ImportId"":""QID1211021034""}","{""ImportId"":""QID1211021035""}","{""ImportId"":""QID1211021036""}","{""ImportId"":""QID1211021037""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211020975""}","{""ImportId"":""QID1211020976""}","{""ImportId"":""QID1211020977""}","{""ImportId"":""QID1211020978""}","{""ImportId"":""QID1211020967""}","{""ImportId"":""QID1211020968""}","{""ImportId"":""QID1211020969""}","{""ImportId"":""QID1211020970""}","{""ImportId"":""QID1211020971""}","{""ImportId"":""QID1211020972""}","{""ImportId"":""QID1211020973""}","{""ImportId"":""QID1211020974""}","{""ImportId"":""QID1211020979""}","{""ImportId"":""QID1211020980""}","{""ImportId"":""QID1211020981""}","{""ImportId"":""QID1211020982""}","{""ImportId"":""QID1211020983""}","{""ImportId"":""QID1211020984""}","{""ImportId"":""QID1211020985""}","{""ImportId"":""QID1211020986""}","{""ImportId"":""QID1211020966_TEXT""}","{""ImportId"":""QID1211021016_TEXT""}","{""ImportId"":""QID1211021015""}","{""ImportId"":""QID1211020987""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 04:43:24,2023-03-13 04:48:38,IP Address,83.21.195.187,100,313,True,2023-03-13 04:48:38,R_302xmhWiXeM89He,,,,,54.527,18.5388,anonymous,EN,To indicate the prisoner's charge.,Comparing a prisoner's information with prior observations.,3.174,85.028,85.33,16,High risk,Strongly agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,6.285,15.598,16.402,9,No risk,Strongly agree,"Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,7.924,31.265,31.573,11,Low risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,6.406,11.968,12.366,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,8.377,18.736,19.362,10,5,6,5,6,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,about crimes,yes,Agree,Agree,60db60222437bae9ccaea163,640efe4a7e8663217842fba8,63dcde5107ded9540f830af6
2023-03-13 04:42:41,2023-03-13 04:49:00,IP Address,77.101.97.230,100,379,True,2023-03-13 04:49:01,R_3fVNU7G4xzzNUfx,,,,,55.9409,-3.2939,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,14.308,47.578,48.838,8,High risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Strongly agree,High risk,Strongly agree,2.005,14.532,15.143,12,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Low risk,Strongly agree,11.267,26.016,26.809,13,Medium risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Strongly agree,Medium risk,Strongly agree,5.312,18.641,19.219,12,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Strongly agree,Low risk,Strongly agree,2.334,16.667,17.372,13,5,6,6,6,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,"It used data about previous offenders to predict the probability of reoffending ","Good that it uses probability. Bad that I don’t know whether the data it was from people that had actually reoffended or where the data came from ",Strongly agree,Strongly agree,5f6cb1b0a37ab808cdc96d47,640efe1c7d4ad5e63fc52df1,63dcde5107ded9540f830af6
2023-03-13 04:42:30,2023-03-13 04:50:30,IP Address,41.147.0.173,100,480,True,2023-03-13 04:50:31,R_6zMeN0WtUADVZol,,,,,-33.914,18.4129,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,54.27,114.734,116.293,2,Medium risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,High risk,Somewhat agree,29.632,53.621,54.292,8,No risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,No risk,Somewhat agree,7.367,18.239,18.797,9,High risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,7.163,19.587,20.467,8,Medium risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,3.541,16.998,17.613,9,6,6,5,5,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"It uses the information given and compares it to other scenarios where similar data was given ","It was a straight forward explanation, could give more details in the explanation",Agree,Agree,60d2da5287c7487df80edbd9,640efe12c802d71c2b3ed647,63dcde5107ded9540f830af6
2023-03-13 04:42:54,2023-03-13 04:50:35,IP Address,148.63.134.0,100,460,True,2023-03-13 04:50:36,R_1P8nWu53O4bOsiX,,,,,41.5515,-8.4204,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,28.191,53.101,55.249,3,Medium risk,Strongly agree,Description of the charge,Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,7.715,40.791,41.567,13,Low risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,4.247,24.815,25.521,13,Medium risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,Medium risk,Strongly agree,5.349,17.061,18.174,9,Low risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,Low risk,Strongly agree,1.687,14.645,15.838,11,5,6,6,6,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,Using different types of information,"nthing was bad, and it was easy to understand",Somewhat agree,Agree,5eff25aab3e798468bfdeccb,640efe2b51620925d8d68d7d,63dcde5107ded9540f830af6
2023-03-13 04:43:10,2023-03-13 04:52:00,IP Address,197.184.176.208,100,529,True,2023-03-13 04:52:01,R_3J1UPzritPfRgv7,,,,,-26.3811,27.8376,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,39.705,142.908,144.043,10,High risk,Strongly agree,"Gender,Age,Race,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,3.617,28.764,29.851,23,Low risk,Strongly agree,"Age,Number of juvenile major offenses,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,3.079,33.738,34.714,14,Medium risk,Somewhat agree,"Gender,Age,Race,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,Medium risk,Somewhat agree,7.899,41.251,42.435,15,Low risk,Strongly agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,Low risk,Strongly agree,2.934,18.523,19.545,11,7. I trust it completely.,7. It is completely predictable.,5,7. It is completely efficient.,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,it uses factors of the past to make judgements and demographics,"i feel there was no bad explanation, everything said was precise",Agree,Strongly agree,60e729d37f02f16656e6823a,640efe3b46795788139c0859,63dcde5107ded9540f830af6
2023-03-13 04:41:40,2023-03-13 04:52:13,IP Address,90.190.71.26,100,633,True,2023-03-13 04:52:14,R_12PTs1GWbaSIAHJ,,,,,58.3794,26.7322,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,11.562,127.7,128.807,4,Medium risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,6.364,29.89,30.485,8,No risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,No risk,Somewhat agree,7.838,40.071,40.462,8,Medium risk,Somewhat agree,"Age,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,19.834,43.202,43.825,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,17.65,38.246,38.837,10,5,6,5,5,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,"It mostly concentrates on the previous offences and arrests and on the degree of the assault. It doesn't seem to take into account the gender, age etc. ","It was easy to read and understandable. ",Agree,Agree,610705107cb0493ef0a8985e,640efde286e934a05cba550e,63dcde5107ded9540f830af6
2023-03-13 04:43:44,2023-03-13 04:52:37,IP Address,194.65.37.71,100,533,True,2023-03-13 04:52:38,R_1IMgsqtLvO6OBOm,,,,,38.731,-9.1373,anonymous,EN,Help the judge decide whether to release a prisoner.,Selecting five individuals from a historical dataset at random and calculating the average.,37.7,91.184,92.085,3,Medium risk,Somewhat agree,"Number of previous arrest,Description of the charge",Somewhat agree,Somewhat agree,High risk,Somewhat agree,4.403,15.4,16.19,6,Low risk,Somewhat agree,The degree of the charge,Somewhat agree,Somewhat agree,No risk,Somewhat agree,9.276,22.035,22.899,5,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,11.151,32.437,33.22,6,Low risk,Somewhat agree,Description of the charge,Somewhat agree,Somewhat agree,Low risk,Somewhat agree,8.85,20.985,21.799,5,6,5,6,6,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,based on many factors and select minor or major gravity to achieve a conclusion,everything was well explaned but it could have more examples,Agree,Agree,61655c47cceb83c1cb0a51c8,640efe40f83c303a14ef5efb,63dcde5107ded9540f830af6
2023-03-13 04:43:22,2023-03-13 04:54:25,IP Address,194.140.232.254,100,662,True,2023-03-13 04:54:25,R_31Es5u6X52ULYxg,,,,,38.731,-9.1373,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,35.545,137.961,138.879,2,Medium risk,Strongly agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,12.074,19.938,20.515,8,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat disagree,Low risk,Somewhat agree,12.003,31.718,32.939,11,Low risk,Somewhat agree,"Race,Number of previous arrest",Somewhat agree,Neither agree nor disagree,Low risk,Somewhat agree,3.894,18.117,18.518,7,Medium risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat disagree,Somewhat disagree,Medium risk,Strongly agree,4.839,20.051,20.302,9,5,5,3,4,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree strongly,I'm neutral about it,I disagree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,"Based on previous experiences concerning aspects that characterize the subjects (such as their race, age, predicting possible arrests taking into account the amount of previous ones....)",The fact that it is clear and makes sense. What is bad is that it lacks certain factors and can be somehow discriminating.,Somewhat agree,Agree,5e7b778f5c17541742c0bf2c,640efe4218842194963e9f89,63dcde5107ded9540f830af6
