StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts high risk.",I trust the high risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts no risk.",I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts medium risk.",I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts low risk.",I trust the low risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of the tool shows me how accurate the tool is.,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021115""}","{""ImportId"":""QID1211021114""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021092""}","{""ImportId"":""QID1211021093""}","{""ImportId"":""QID1211021095""}","{""ImportId"":""QID1211021096""}","{""ImportId"":""QID1211021097""}","{""ImportId"":""QID1211021098""}","{""ImportId"":""QID1211021099""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021108""}","{""ImportId"":""QID1211021100""}","{""ImportId"":""QID1211021129""}","{""ImportId"":""QID1211021130""}","{""ImportId"":""QID1211021131""}","{""ImportId"":""QID1211021132""}","{""ImportId"":""QID1211021133""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021125""}","{""ImportId"":""QID1211021126""}","{""ImportId"":""QID1211021122""}","{""ImportId"":""QID1211021112""}","{""ImportId"":""QID1211021113""}","{""ImportId"":""QID1211021116""}","{""ImportId"":""QID1211021060""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID1211021084""}","{""ImportId"":""QID1211021085""}","{""ImportId"":""QID1211021123""}","{""ImportId"":""QID1211021087""}","{""ImportId"":""QID1211021088""}","{""ImportId"":""QID1211021089""}","{""ImportId"":""QID1211021090""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID1211021070""}","{""ImportId"":""QID1211021071""}","{""ImportId"":""QID1211021072""}","{""ImportId"":""QID1211021073""}","{""ImportId"":""QID1211021062""}","{""ImportId"":""QID1211021063""}","{""ImportId"":""QID1211021064""}","{""ImportId"":""QID1211021065""}","{""ImportId"":""QID1211021066""}","{""ImportId"":""QID1211021067""}","{""ImportId"":""QID1211021068""}","{""ImportId"":""QID1211021069""}","{""ImportId"":""QID1211021074""}","{""ImportId"":""QID1211021075""}","{""ImportId"":""QID1211021076""}","{""ImportId"":""QID1211021077""}","{""ImportId"":""QID1211021078""}","{""ImportId"":""QID1211021079""}","{""ImportId"":""QID1211021080""}","{""ImportId"":""QID1211021081""}","{""ImportId"":""QID1211021061_TEXT""}","{""ImportId"":""QID1211021110_TEXT""}","{""ImportId"":""QID1211021109""}","{""ImportId"":""QID1211021082""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 04:44:49,2023-03-13 04:53:08,IP Address,213.13.178.98,100,499,True,2023-03-13 04:53:10,R_2xS2VojVsN6Y0An,,,,,41.1691,-8.6793,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,28.391,50.8,52.087,2,High risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,High risk,Strongly agree,8.206,19.264,20.738,5,No risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,12.145,22.865,24.447,6,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Neither agree nor disagree,High risk,Somewhat agree,33.203,50.439,52.247,7,Low risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat agree,Low risk,Somewhat agree,10.73,22.487,23.445,7,6,7. It is completely predictable.,6,6,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I disagree strongly,I disagree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree strongly,the tool uses speculative data as well as factual data provided by the arrrest to predict whther or not another crime will be commited by the same person,"It's bad that it doesnt seem to explain the ""importance"" of each factor. Everything else makes sense and is easy to understand",Agree,Agree,612ccc537fd00ae8b3e8b95f,640efe9fff0075d4e4223de1,63dcdeea52482ae344b0a7e0
2023-03-13 04:45:28,2023-03-13 04:53:56,IP Address,213.134.189.245,100,507,True,2023-03-13 04:53:56,R_2SGlwtZPO9BAocd,,,,,52.2296,21.0067,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,34.723,58.45,74.273,2,Medium risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Strongly disagree,Medium risk,Neither agree nor disagree,20.063,31.766,32.412,6,Low risk,Neither agree nor disagree,"Race,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Strongly disagree,No risk,Somewhat agree,3.903,21.562,22.123,10,Low risk,Neither agree nor disagree,"Race,Number of previous arrest",Somewhat agree,Strongly disagree,Low risk,Neither agree nor disagree,19.68,37.482,38.431,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Strongly disagree,Low risk,Somewhat agree,5.902,16.991,18.02,9,1. I do not trust it at all.,5,1. It is not at all reliable.,1. It is not at all efficient.,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree strongly,I disagree strongly,I disagree strongly,I disagree strongly,I disagree strongly,I disagree strongly,I disagree strongly,I agree somewhat,I agree somewhat,I disagree strongly,I agree somewhat,It takes into consideration information about a case and using data from previous cases makes an prediction,"Nothing special, but there was not enough information about how each information impact overall assesment",Agree,Agree,5fba3df58d95c874a476e0d7,640efeb4f04f66ad95d68dd1,63dcdeea52482ae344b0a7e0
2023-03-13 04:45:15,2023-03-13 04:55:42,IP Address,176.93.255.10,100,626,True,2023-03-13 04:55:42,R_29pkhhBlksNphMw,,,,,61.473,21.8225,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,35.042,61.066,62.017,2,High risk,Strongly agree,Number of previous arrest,Somewhat agree,Strongly agree,High risk,Strongly agree,20.956,37.18,37.982,5,Medium risk,Somewhat agree,Number of previous arrest,Somewhat agree,Somewhat disagree,Medium risk,Somewhat agree,24.947,38.939,39.908,5,Medium risk,Somewhat agree,Number of previous arrest,Somewhat agree,Strongly agree,Medium risk,Strongly agree,22.191,35.406,36.225,5,Low risk,Somewhat agree,Number of previous arrest,Somewhat agree,Somewhat agree,Low risk,Somewhat agree,11.388,27.908,28.526,5,5,6,3,4,I agree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,Based on earlier record and the severity of earlier crimes.,Simplicity. Too little base info.,Strongly agree,Strongly agree,6151dbe0fb52b4b4bb5d5c32,640efeac9cf4546cab42fbc7,63dcdeea52482ae344b0a7e0
2023-03-13 04:46:11,2023-03-13 04:55:55,IP Address,102.65.121.182,100,584,True,2023-03-13 04:55:57,R_07ySXUKWHaeHscx,,,,,-29.9056,30.9405,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,26.388,50.037,51.826,2,High risk,Strongly agree,"Number of juvenile major offenses,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,33.443,65.714,66.492,7,Low risk,Strongly agree,"Age,The degree of the charge",Somewhat agree,Somewhat disagree,Low risk,Strongly agree,15.144,49.405,51.875,6,Medium risk,Strongly agree,"Age,Number of juvenile major offenses",Somewhat agree,Somewhat agree,Medium risk,Strongly agree,17.284,41.092,41.823,6,Low risk,Strongly agree,"Number of juvenile major offenses,Number of previous arrest,Description of the charge",Somewhat agree,Somewhat agree,Low risk,Strongly agree,13.453,28.103,29.822,7,6,5,5,6,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,"Using the age, race and past offences / arrest info on the person, it uses an algorithm to predict how likely they are to be a repeat offender if released.",I think it was a detailed description. It didn't overestimate what the algorithm / AI could do.,Strongly agree,Strongly agree,5ef0a0fbcb93ea5e9a7d3460,640efee1f2a82b08eb0c3556,63dcdeea52482ae344b0a7e0
2023-03-13 04:45:38,2023-03-13 04:57:29,IP Address,89.64.14.10,100,711,True,2023-03-13 04:57:30,R_wXeasUzCyoXEDkt,,,,,51.1043,17.0335,anonymous,EN,To prove that a judgement is fair.,Comparing a prisoner's information with prior observations.,1.202,72.608,73.106,5,High risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,High risk,Strongly agree,17.583,34.255,37.283,8,No risk,Strongly agree,"Number of juvenile major offenses,Number of previous arrest",Strongly agree,Strongly agree,No risk,Strongly agree,5.177,63.504,64.149,11,High risk,Somewhat agree,"Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,8.208,37.023,37.931,11,Low risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Strongly agree,Low risk,Strongly agree,48.922,129.313,129.973,13,6,6,4,5,I agree strongly,I agree strongly,I'm neutral about it,I disagree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree strongly,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,based on age and the degree of crime,the explanation was sufficient to perform the experiment,Agree,Strongly agree,61198b15aede4ef58a2dda0a,640efecbbf6c1fafdd6db407,63dcdeea52482ae344b0a7e0
2023-03-13 04:45:50,2023-03-13 05:01:30,IP Address,41.162.83.212,100,940,True,2023-03-13 05:01:31,R_6hCHFvJWcm9KvUl,,,,,-26.2198,28.251,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,86.566,173.975,175.742,2,High risk,Strongly agree,"Gender,Age,Number of  juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,8.143,30.477,31.81,9,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Neither agree nor disagree,Neither agree nor disagree,Low risk,Strongly agree,5.047,16.823,18.306,9,Medium risk,Somewhat agree,"Gender,Number of previous arrest,Description of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,82.731,124.12,125.072,7,Low risk,Strongly agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,7.091,25.904,27.023,11,4,5,6,6,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,IT GIVE ALL REQUIRED INFORMATION THAT HELPS DECIDE HOW LIKELY ONE WILL REPEAT OFFENCES,"IT TOOK READING A COUPLE OF TIME TO READ AND UNDERSTAND, NOTHING WAS BAD IN MY VIEW THOUGH, IT WAS JUST A LITTLE COMPLEX",Agree,Agree,6162c4df5e32a5416e76cc43,640efedb107793fc3818d680,63dcdeea52482ae344b0a7e0
2023-03-13 04:46:18,2023-03-13 05:01:43,IP Address,102.182.46.23,100,924,True,2023-03-13 05:01:44,R_3lYMwTc4eSRiKg2,,,,,-26.3811,27.8376,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,255.039,311.88,325.487,2,High risk,Strongly agree,"Number of juvenile major offenses,Number of  juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,2.336,46.127,46.805,8,Medium risk,Strongly agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge",Somewhat agree,Somewhat disagree,Medium risk,Strongly agree,5.431,19.082,19.945,7,High risk,Neither agree nor disagree,"Gender,Race,Number of previous arrest",Somewhat agree,Neither agree nor disagree,Medium risk,Somewhat agree,20.619,44.27,45.284,9,No risk,Strongly agree,"Gender,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,11.232,30.759,31.806,8,5,5,6,5,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,It uses the criminals profile to predict the risk.,Most of the information was good in the explation. The bad thing is that previous offences were not explained in detail.,Agree,Agree,60f930c46df25698d755230d,640efee9f452f229f52cdecb,63dcdeea52482ae344b0a7e0
2023-03-13 04:49:46,2023-03-13 05:02:13,IP Address,196.30.24.79,100,746,True,2023-03-13 05:02:14,R_DcqyGZ9wDClPaM1,,,,,-22.9495,30.4857,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,37.174,96.773,99.112,2,High risk,Strongly agree,The degree of the charge,Strongly agree,Strongly agree,High risk,Strongly agree,7.731,16.175,17.523,5,Low risk,Strongly agree,Number of juvenile major offenses,Strongly agree,Strongly agree,No risk,Strongly agree,15.946,61.04,63.129,5,High risk,Strongly agree,Description of the charge,Strongly agree,Strongly agree,Medium risk,Strongly agree,13.601,24.555,26.526,5,Low risk,Strongly agree,Number of juvenile major offenses,Strongly agree,Strongly agree,Low risk,Strongly agree,22.101,30.594,31.745,5,7. I trust it completely.,4,5,4,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I agree strongly,I agree strongly,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,by the number of offences committed and the description of the charges,"it gave a good explanation ,it just have to be in detail",Strongly agree,Strongly agree,61505604478697bee544559f,640efeb8c1b222b1d848050a,63dcdeea52482ae344b0a7e0
