StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above information, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts high risk.",I trust the high risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above information, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts no risk.",I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above information, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts medium risk.",I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above information, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts low risk.",I trust the low risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021115""}","{""ImportId"":""QID1211021114""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021092""}","{""ImportId"":""QID1211021093""}","{""ImportId"":""QID1211021095""}","{""ImportId"":""QID1211021096""}","{""ImportId"":""QID1211021097""}","{""ImportId"":""QID1211021098""}","{""ImportId"":""QID1211021099""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021108""}","{""ImportId"":""QID1211021100""}","{""ImportId"":""QID1211021129""}","{""ImportId"":""QID1211021130""}","{""ImportId"":""QID1211021131""}","{""ImportId"":""QID1211021132""}","{""ImportId"":""QID1211021133""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021125""}","{""ImportId"":""QID1211021126""}","{""ImportId"":""QID1211021122""}","{""ImportId"":""QID1211021112""}","{""ImportId"":""QID1211021113""}","{""ImportId"":""QID1211021116""}","{""ImportId"":""QID1211021060""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID1211021084""}","{""ImportId"":""QID1211021085""}","{""ImportId"":""QID1211021123""}","{""ImportId"":""QID1211021087""}","{""ImportId"":""QID1211021088""}","{""ImportId"":""QID1211021089""}","{""ImportId"":""QID1211021090""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID1211021070""}","{""ImportId"":""QID1211021071""}","{""ImportId"":""QID1211021072""}","{""ImportId"":""QID1211021073""}","{""ImportId"":""QID1211021062""}","{""ImportId"":""QID1211021063""}","{""ImportId"":""QID1211021064""}","{""ImportId"":""QID1211021065""}","{""ImportId"":""QID1211021066""}","{""ImportId"":""QID1211021067""}","{""ImportId"":""QID1211021068""}","{""ImportId"":""QID1211021069""}","{""ImportId"":""QID1211021074""}","{""ImportId"":""QID1211021075""}","{""ImportId"":""QID1211021076""}","{""ImportId"":""QID1211021077""}","{""ImportId"":""QID1211021078""}","{""ImportId"":""QID1211021079""}","{""ImportId"":""QID1211021080""}","{""ImportId"":""QID1211021081""}","{""ImportId"":""QID1211021061_TEXT""}","{""ImportId"":""QID1211021110_TEXT""}","{""ImportId"":""QID1211021109""}","{""ImportId"":""QID1211021082""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 10:55:26,2023-03-13 11:00:41,IP Address,200.68.165.47,100,314,True,2023-03-13 11:00:42,R_2QWYuxVVALluTQX,,,,,25.6802,-100.3065,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,24.441,62.353,68.981,4,High risk,Strongly agree,"Number of  juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,9.405,20.961,21.807,10,No risk,Strongly agree,The degree of the charge,Strongly agree,Strongly agree,No risk,Strongly agree,5.203,24.397,25.164,6,High risk,Somewhat agree,"Number of previous arrest,Description of the charge",Strongly agree,Somewhat agree,Medium risk,Strongly agree,7.716,17.534,18.404,8,Medium risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Neither agree nor disagree,Medium risk,Strongly agree,10.823,27.477,28.29,8,6,3,5,6,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,By considering the number or arrests and major-minor felonies,"All was good, it is pretty clear.",Agree,Strongly agree,5fdbd196dfcbb90c5af649f5,640f55755113df764004c09d,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:55:34,2023-03-13 11:02:27,IP Address,90.207.158.147,100,413,True,2023-03-13 11:02:28,R_3rSYjLX1HAOvFrB,,,,,51.2005,-0.8087,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,21.271,43.034,45.907,8,High risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,High risk,Strongly agree,14.931,28.613,29.171,14,No risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,20.572,44.739,45.3,17,High risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,9.627,28.204,28.888,17,Medium risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,10.933,28.322,29.427,15,6,5,6,6,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,Based on the data - mostly number of previous arrests and category of the offence,Was good how it explained how the risk rating would be affected if some factots changed.,Agree,Strongly agree,581f6c63930a280001062e8c,640f5570ce8f6ae2eb93cfc0,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:52:21,2023-03-13 11:02:33,IP Address,193.19.213.147,100,612,True,2023-03-13 11:02:33,R_xarf1EbT1wHRtdv,,,,,51.1043,17.0335,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,5.955,105.127,106.196,6,High risk,Strongly agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Somewhat agree,High risk,Somewhat agree,13.694,46.643,47.017,8,Low risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Somewhat agree,No risk,Somewhat agree,8.182,34.706,35.473,7,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Neither agree nor disagree,Medium risk,Somewhat agree,22.543,49.885,50.668,7,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Somewhat disagree,Medium risk,Somewhat agree,8.153,22.928,24.161,8,3,7. It is completely predictable.,3,5,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,"It sees merely numbers, not the harmfulness of crimes",It was pretty much straight forward,Agree,Somewhat agree,604a7a002589507b56cae85d,640f54c333751c97072390fb,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:53:16,2023-03-13 11:03:13,IP Address,94.132.191.131,100,597,True,2023-03-13 11:03:14,R_3CCKKBZjgWd2N7o,,,,,40.6642,-7.9072,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,43.74,92.373,93.793,2,High risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,14.518,27.357,28.777,6,No risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,19.309,61.992,66.003,9,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Somewhat agree,Medium risk,Strongly agree,13.663,48.986,49.901,6,Medium risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Neither agree nor disagree,Strongly disagree,Medium risk,Strongly agree,16.771,41.717,42.406,8,4,6,4,4,I agree strongly,I disagree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I'm neutral about it,I agree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"based on the degree of the crime commited and the primor arrest ",i can understand what variables have to change so the decision is altered but i cannot understand why some categories have no importance to the ai,Strongly agree,Strongly agree,5f5a1dbec9012406a20ea2d7,640f54f95d9dbf24a5d49c2b,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:55:02,2023-03-13 11:04:14,IP Address,95.108.58.252,100,551,True,2023-03-13 11:04:14,R_3HFxIcyzWkCfDRf,,,,,52.4052,16.9339,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,6.805,25.564,36.175,2,High risk,Strongly agree,"Number of juvenile major offenses,Number of  juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,8.232,19.263,20.064,10,No risk,Strongly agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,21.096,32.037,32.526,11,Medium risk,Somewhat agree,"Gender,Race,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Medium risk,Strongly agree,5.278,30.441,30.77,16,Medium risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Neither agree nor disagree,Medium risk,Neither agree nor disagree,24.221,50.447,51.737,11,6,5,6,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,Model learned on 1500 example cases. Takes information on them as input and returns output of risk.,"Maybe percentage of how different information affected outcome would be nice, other than that i don't see any issue.",Strongly agree,Strongly agree,5eab2e1191f1f20e3aa1f097,640f5559d13e909c9b4a07e9,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:50:26,2023-03-13 11:05:42,IP Address,85.75.99.108,100,916,True,2023-03-13 11:05:43,R_3fOEJ1T0lrCRfg3,,,,,37.9842,23.7353,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,4.979,95.403,96.944,24,High risk,Strongly agree,"Number of  juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,6.936,44.12,45.013,12,Low risk,Strongly agree,"Age,Number of juvenile major offenses",Somewhat agree,Neither agree nor disagree,Low risk,Strongly agree,25.513,60.593,61.463,13,Medium risk,Strongly agree,Number of juvenile major offenses,Strongly agree,Strongly agree,Medium risk,Strongly agree,20.276,44.172,47.232,8,Medium risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,11.811,54.25,54.847,14,6,6,5,6,I agree strongly,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I disagree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,"By comparing the information it is given about the person to the information it already has on the other convicts ","It was helpful and easy to understand, it could have been more detailed ",Agree,Agree,5efca3f5a68c6605eec1d5b9,640f544fff87d1b300416a66,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:54:37,2023-03-13 11:05:49,IP Address,94.60.51.250,100,671,True,2023-03-13 11:05:49,R_1FldXYb3HyNi4xg,,,,,41.1691,-8.6793,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,39.908,78.563,83.811,2,High risk,Strongly agree,Number of previous arrest,Strongly agree,Somewhat agree,High risk,Strongly agree,24.596,49.958,51.186,9,Low risk,Strongly agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,No risk,Somewhat agree,20.683,42.476,43.254,13,High risk,Strongly agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat disagree,Medium risk,Somewhat agree,4.603,66.681,67.173,20,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of previous arrest",Strongly agree,Strongly agree,Low risk,Strongly agree,15.701,25.711,26.128,9,4,7. It is completely predictable.,5,6,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,It compares the current information with past examples to try to predict what will happen and give an answer accordingly,"The conclusions of the Ai seemed logical and coherent. I didn't agree with one of the answers, it seemed exaggerated",Somewhat agree,Agree,603fbb652a0d900cc7c02ca2,640f554be28b698f25d5607a,63dce0d3651f1ed07bbb3ed0
2023-03-13 10:54:50,2023-03-13 11:06:51,IP Address,213.138.235.153,100,720,True,2023-03-13 11:06:52,R_2wnVmPjf8Si2iB4,,,,,32.6333,-16.9,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,55.41,129.988,131.472,2,High risk,Strongly agree,Number of previous arrest,Strongly agree,Strongly agree,High risk,Strongly agree,19.664,39.454,40.533,7,No risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of juvenile minor offenses,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,15.538,39.669,41.285,7,High risk,Strongly agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,High risk,Somewhat agree,29.221,55.683,56.672,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,30.31,57.003,58.25,9,6,6,6,6,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,based on the individuals personal data and using prerecorded data from many individuals,It was clear what importance each criteria had (like previous arrest and degree of ofense),Somewhat agree,Agree,607d7c8297d36c7835032ce9,640f55516c6493311f78bb51,63dce0d3651f1ed07bbb3ed0
