StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts high risk.",I trust the high risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts no risk.",I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts medium risk.",I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts low risk.",I trust the low risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021021""}","{""ImportId"":""QID1211021020""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021014""}","{""ImportId"":""QID1211021006""}","{""ImportId"":""QID1211020965""}","{""ImportId"":""QID1211021018""}","{""ImportId"":""QID1211021019""}","{""ImportId"":""QID1211021022""}","{""ImportId"":""QID1211020964""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211020989""}","{""ImportId"":""QID1211020990""}","{""ImportId"":""QID1211020992""}","{""ImportId"":""QID1211020993""}","{""ImportId"":""QID1211020994""}","{""ImportId"":""QID1211020995""}","{""ImportId"":""QID1211020996""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211020998""}","{""ImportId"":""QID1211020999""}","{""ImportId"":""QID1211021001""}","{""ImportId"":""QID1211021002""}","{""ImportId"":""QID1211021003""}","{""ImportId"":""QID1211021004""}","{""ImportId"":""QID1211021005""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021029""}","{""ImportId"":""QID1211021030""}","{""ImportId"":""QID1211021033""}","{""ImportId"":""QID1211021034""}","{""ImportId"":""QID1211021035""}","{""ImportId"":""QID1211021036""}","{""ImportId"":""QID1211021037""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211020975""}","{""ImportId"":""QID1211020976""}","{""ImportId"":""QID1211020977""}","{""ImportId"":""QID1211020978""}","{""ImportId"":""QID1211020967""}","{""ImportId"":""QID1211020968""}","{""ImportId"":""QID1211020969""}","{""ImportId"":""QID1211020970""}","{""ImportId"":""QID1211020971""}","{""ImportId"":""QID1211020972""}","{""ImportId"":""QID1211020973""}","{""ImportId"":""QID1211020974""}","{""ImportId"":""QID1211020979""}","{""ImportId"":""QID1211020980""}","{""ImportId"":""QID1211020981""}","{""ImportId"":""QID1211020982""}","{""ImportId"":""QID1211020983""}","{""ImportId"":""QID1211020984""}","{""ImportId"":""QID1211020985""}","{""ImportId"":""QID1211020986""}","{""ImportId"":""QID1211020966_TEXT""}","{""ImportId"":""QID1211021016_TEXT""}","{""ImportId"":""QID1211021015""}","{""ImportId"":""QID1211020987""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 10:51:02,2023-03-13 10:57:02,IP Address,176.221.121.193,100,360,True,2023-03-13 10:57:03,R_3ozk8sxlyEDYTsw,,,,,51.7495,18.0879,anonymous,EN,To prove that a judgement is fair.,Comparing a prisoner's information with prior observations.,40.048,74,74.707,2,Medium risk,Somewhat agree,"Gender,Number of juvenile minor offenses,The degree of the charge",Somewhat agree,Strongly agree,High risk,Strongly agree,13.748,33.105,33.847,8,Low risk,Somewhat agree,"Gender,Age",Somewhat agree,Strongly agree,No risk,Strongly agree,8.532,21.985,22.759,8,High risk,Strongly agree,"Gender,Number of previous arrest,The degree of the charge",Somewhat disagree,Somewhat disagree,High risk,Somewhat agree,2.874,14.761,15.701,7,No risk,Somewhat agree,"Gender,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,2.28,9.361,10.002,7,5,4,3,6,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,based on diagrams and prior information gathering,"generalization was bad, the rest was good",Agree,Strongly agree,610c188850e797295adc784a,640f545ffa8af7ca2de75044,63dcdfdfd44057fc703b7710
2023-03-13 10:52:37,2023-03-13 10:57:31,IP Address,89.64.88.126,100,293,True,2023-03-13 10:57:31,R_2VRcwV8VuQQwIxV,,,,,52.2304,21.0248,anonymous,EN,To prove that a judgement is fair.,Asking family and friends of the individual to assess the risk of this individual.,5.589,27.793,28.318,4,Medium risk,Strongly agree,"Age,Number of juvenile minor offenses,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,3.309,14.769,17.044,12,Low risk,Strongly agree,"Gender,Age,Race,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Strongly disagree,Low risk,Strongly agree,5.981,20.096,20.449,12,Low risk,Strongly agree,"Race,Number of previous arrest",Somewhat agree,Somewhat agree,Low risk,Strongly agree,7.321,22.877,23.19,7,Low risk,Strongly agree,"Number of juvenile minor offenses,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,7.528,21.728,22.265,12,7. I trust it completely.,7. It is completely predictable.,7. It is completely reliable.,7. It is completely efficient.,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,yes,i dont know but the ai wasnt accurate in all 4 of them,Strongly agree,Strongly agree,60328ae847873028ddf4e8ef,640f54d01a78f86a82a46875,63dcdfdfd44057fc703b7710
2023-03-13 10:52:07,2023-03-13 10:59:28,IP Address,188.37.86.166,100,441,True,2023-03-13 10:59:29,R_cXSjucDWa006JPz,,,,,41.1691,-8.6793,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,21.766,77.622,79.418,3,High risk,Strongly agree,"Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,High risk,Strongly agree,10.105,24.137,24.806,6,No risk,Somewhat agree,"Age,Number of juvenile minor offenses",Strongly agree,Strongly agree,No risk,Strongly agree,9.782,17.054,17.714,8,Low risk,Neither agree nor disagree,Number of previous arrest,Somewhat disagree,Somewhat agree,Medium risk,Somewhat agree,16.554,38.306,38.854,6,Medium risk,Somewhat disagree,Description of the charge,Somewhat agree,Somewhat agree,Low risk,Somewhat agree,12.78,21.62,22.305,5,4,4,4,5,I agree somewhat,I disagree somewhat,I agree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I'm neutral about it,I disagree strongly,I'm neutral about it,I disagree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,analizing datas,good,Somewhat agree,Somewhat disagree,60d1f817a8c232158bd373b3,640f54b5379bc5d72ab97c82,63dcdfdfd44057fc703b7710
2023-03-13 10:52:50,2023-03-13 10:59:48,IP Address,2.87.141.226,100,418,True,2023-03-13 10:59:49,R_24i1QvnLOv4hJXr,,,,,37.9842,23.7353,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,42.125,87.227,89.768,8,High risk,Strongly agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,9.921,23.696,24.961,10,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,No risk,Strongly agree,6.481,17.667,18.613,11,Low risk,Somewhat agree,Number of previous arrest,Somewhat agree,Somewhat agree,Medium risk,Strongly agree,9.957,20.62,21.46,9,High risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,14.306,28.332,29.244,7,6,4,6,7. It is completely efficient.,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,The tool predicts based on number and severity of previous felonies and the age and backround information,I think the age isn't a so valid metric,Agree,Agree,5f4d43876b90b72cfeb8be62,640f54dc355a23886c2ef1ec,63dcdfdfd44057fc703b7710
2023-03-13 10:52:45,2023-03-13 11:01:51,IP Address,79.35.252.61,100,546,True,2023-03-13 11:01:52,R_2U9szppt30DL9J2,,,,,40.355,18.1741,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,39.704,92.343,93.237,2,High risk,Somewhat agree,"Number of juvenile minor offenses,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,12.283,38.605,39.5,9,No risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,7.505,22.976,23.711,8,Medium risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,9.474,24.833,25.529,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,22.728,44.792,46.115,6,5,5,5,5,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"depending on various factors: previous arrest, previous offences, the degree of the offence",the use of the graphs was good. no bad in explanation,Somewhat agree,Somewhat agree,5f15bfe4f4df836bb4c38cdf,640f54da57e86cbe4d99a1d7,63dcdfdfd44057fc703b7710
2023-03-13 10:49:21,2023-03-13 11:02:03,IP Address,41.13.108.39,100,762,True,2023-03-13 11:02:04,R_2Eh2OA6vK5fS73E,,,,,-25.7599,28.2604,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,1.98,133.768,134.406,34,Medium risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat agree,High risk,Strongly agree,2.363,20.824,21.555,11,No risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,No risk,Strongly agree,2.431,35.012,35.834,18,Low risk,Somewhat agree,Number of previous arrest,Somewhat disagree,Somewhat disagree,Low risk,Somewhat agree,3.335,66.621,69.283,28,Low risk,Somewhat agree,The degree of the charge,Somewhat agree,Somewhat agree,Low risk,Strongly agree,2.143,32.383,33.122,17,4,5,5,5,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,Yes I think so,"The no risk, low, medium and high were explained week, but the scenario only took one thing into account ",Agree,Agree,615b0e76929b63555b559716,640f5407d275fd94216b17f1,63dcdfdfd44057fc703b7710
2023-03-13 10:52:39,2023-03-13 11:02:35,IP Address,89.134.24.221,100,595,True,2023-03-13 11:02:35,R_9QUWvcOipiwnr7r,,,,,47.5636,19.0947,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,2.458,115.131,125.186,21,High risk,Strongly agree,The degree of the charge,Strongly agree,Strongly agree,High risk,Strongly agree,0.85,13.322,13.677,14,Low risk,Strongly agree,"Number of juvenile minor offenses,Description of the charge",Strongly agree,Somewhat disagree,Low risk,Strongly agree,4.057,35.38,36.681,14,Medium risk,Somewhat agree,Number of previous arrest,Somewhat agree,Strongly agree,Medium risk,Strongly agree,1.892,17.911,18.588,14,Low risk,Somewhat agree,Number of juvenile minor offenses,Strongly agree,Somewhat agree,Low risk,Strongly agree,8.446,52.61,53.681,15,6,7. It is completely predictable.,6,5,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,Based on information from 1500 prisoners,"It's easy to understand and the graph helps to illustrate it ",Neither agree nor disagree,Agree,60148d07e9c54b4e27c66eef,640f54cfc529dac832a8b9be,63dcdfdfd44057fc703b7710
2023-03-13 10:53:18,2023-03-13 11:02:50,IP Address,213.22.28.86,100,571,True,2023-03-13 11:02:50,R_3PbEqKJmso4PCWx,,,,,40.6642,-7.9072,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,20.393,50.054,51.006,2,Medium risk,Somewhat agree,Number of previous arrest,Strongly agree,Somewhat agree,Medium risk,Somewhat agree,20.194,36.04,36.47,8,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat disagree,Strongly disagree,Low risk,Strongly agree,5.048,19.038,20.738,11,High risk,Strongly agree,Number of previous arrest,Somewhat disagree,Somewhat disagree,High risk,Strongly agree,14.183,27.118,27.582,5,Medium risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,0.777,42.279,42.598,10,4,3,5,4,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I'm neutral about it,I agree somewhat,I agree strongly,I agree somewhat,I disagree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree strongly,The tool takes in account 1500 previous cases and compares them to the new case. Being previous accounts of felonies the one the tool takes in most consideration. after the comparing is done it reveals a result of what it thinks the risk is,The explanation was good overall I have nothing to point out,Agree,Agree,5ede038270fe0e000ab7ae54,640f54db187b8fddd769c693,63dcdfdfd44057fc703b7710
