StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts high risk.",I trust the high risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts no risk.",I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts medium risk.",I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts low risk.",I trust the low risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021021""}","{""ImportId"":""QID1211021020""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021014""}","{""ImportId"":""QID1211021006""}","{""ImportId"":""QID1211020965""}","{""ImportId"":""QID1211021018""}","{""ImportId"":""QID1211021019""}","{""ImportId"":""QID1211021022""}","{""ImportId"":""QID1211020964""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211020989""}","{""ImportId"":""QID1211020990""}","{""ImportId"":""QID1211020992""}","{""ImportId"":""QID1211020993""}","{""ImportId"":""QID1211020994""}","{""ImportId"":""QID1211020995""}","{""ImportId"":""QID1211020996""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211020998""}","{""ImportId"":""QID1211020999""}","{""ImportId"":""QID1211021001""}","{""ImportId"":""QID1211021002""}","{""ImportId"":""QID1211021003""}","{""ImportId"":""QID1211021004""}","{""ImportId"":""QID1211021005""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021029""}","{""ImportId"":""QID1211021030""}","{""ImportId"":""QID1211021033""}","{""ImportId"":""QID1211021034""}","{""ImportId"":""QID1211021035""}","{""ImportId"":""QID1211021036""}","{""ImportId"":""QID1211021037""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211020975""}","{""ImportId"":""QID1211020976""}","{""ImportId"":""QID1211020977""}","{""ImportId"":""QID1211020978""}","{""ImportId"":""QID1211020967""}","{""ImportId"":""QID1211020968""}","{""ImportId"":""QID1211020969""}","{""ImportId"":""QID1211020970""}","{""ImportId"":""QID1211020971""}","{""ImportId"":""QID1211020972""}","{""ImportId"":""QID1211020973""}","{""ImportId"":""QID1211020974""}","{""ImportId"":""QID1211020979""}","{""ImportId"":""QID1211020980""}","{""ImportId"":""QID1211020981""}","{""ImportId"":""QID1211020982""}","{""ImportId"":""QID1211020983""}","{""ImportId"":""QID1211020984""}","{""ImportId"":""QID1211020985""}","{""ImportId"":""QID1211020986""}","{""ImportId"":""QID1211020966_TEXT""}","{""ImportId"":""QID1211021016_TEXT""}","{""ImportId"":""QID1211021015""}","{""ImportId"":""QID1211020987""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 04:43:48,2023-03-13 04:51:07,IP Address,93.105.131.189,100,439,True,2023-03-13 04:51:08,R_1OK9gzmwdPkl3Qf,,,,,54.5732,18.3947,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,16.398,50.079,50.784,2,High risk,Neither agree nor disagree,"Age,Number of previous arrest",Somewhat agree,Somewhat agree,High risk,Strongly agree,34.675,50.454,51.133,6,Low risk,Strongly agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat agree,No risk,Strongly agree,13.776,23.249,23.587,9,Medium risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Strongly agree,Medium risk,Strongly agree,8.421,26.996,27.67,7,Medium risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,Low risk,Strongly agree,4.232,21.131,22.194,8,6,5,7. It is completely reliable.,5,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,Analyzing the data,Everything was good,Somewhat agree,Agree,60d0b1de79020dcced081d7a,640efe600d4ff91d6e0c3540,63dce1b071e4438fefc7c55e
2023-03-13 04:44:42,2023-03-13 04:52:35,IP Address,82.132.235.150,100,473,True,2023-03-13 04:52:36,R_3ymrsXx7SYgflxD,,,,,51.5597,-0.0528,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,1.171,29.281,30.922,11,High risk,Somewhat agree,"Number of juvenile major offenses,Number of previous arrest",Strongly agree,Strongly agree,High risk,Somewhat agree,3.644,47.044,47.685,22,Low risk,Somewhat agree,"Age,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat disagree,Low risk,Somewhat agree,2.488,46.336,46.928,20,Low risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,4.967,59.993,60.586,28,Low risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of previous arrest",Somewhat disagree,Somewhat disagree,Medium risk,Somewhat agree,1.648,33.548,34.172,20,4,5,4,5,I agree strongly,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,Using historical data to predict the future outcomes of people depending on their traits,It does not take enough into account,Agree,Agree,5c70bfe31917dc000153ce84,640efe941eb35d6e0751a340,63dce1b071e4438fefc7c55e
2023-03-13 04:44:52,2023-03-13 04:53:38,IP Address,105.27.179.38,100,525,True,2023-03-13 04:53:39,R_2YWkWVJJ2u84Ccj,,,,,-26.3811,27.8376,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,35.075,69.435,72.413,2,Medium risk,Somewhat agree,The degree of the charge,Somewhat agree,Somewhat agree,High risk,Somewhat agree,57.589,81.133,82.478,6,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,10.524,24.332,25.555,8,High risk,Somewhat agree,"Gender,Age,Description of the charge,The degree of the charge",Neither agree nor disagree,Neither agree nor disagree,High risk,Somewhat agree,6.337,19.247,21.763,8,Low risk,Somewhat agree,The degree of the charge,Somewhat agree,Somewhat agree,Low risk,Somewhat agree,6.744,15.754,16.553,5,5,6,5,6,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,it uses passed prisoner data as a reference,showing the percentages was good and not having a clear reason why is bad,Somewhat agree,Strongly agree,616dd4121bdb418e5cbb09a5,640efe7317045abbcf153fcf,63dce1b071e4438fefc7c55e
2023-03-13 04:44:49,2023-03-13 04:53:40,IP Address,217.217.111.123,100,530,True,2023-03-13 04:53:40,R_1C2xgyRNduXVr6N,,,,,36.7162,-4.4161,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,19.486,104.02,106.914,6,High risk,Somewhat agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,7.983,16.618,19.521,7,Low risk,Neither agree nor disagree,The degree of the charge,Somewhat agree,Neither agree nor disagree,Low risk,Somewhat agree,19.198,27.114,27.803,5,Medium risk,Somewhat agree,"Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,10.834,24.302,25.324,7,Low risk,Somewhat agree,"Number of juvenile major offenses,Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Strongly agree,30.182,55.466,56.158,8,6,4,3,6,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,I agree somewhat,I agree strongly,depending on de charges and the level of them,"explaining how the system work with the % and the bad explanation is how we can end it up in that percentage ",Somewhat agree,Somewhat agree,5db954a2af32f6000a8fe36c,640efea044bfc457ef8e6b2c,63dce1b071e4438fefc7c55e
2023-03-13 04:44:04,2023-03-13 04:54:19,IP Address,109.80.40.96,100,615,True,2023-03-13 04:54:20,R_2E0je26gdc8AsLw,,,,,50.367,15.6277,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,57.748,90.205,91.539,3,Medium risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Strongly agree,Somewhat agree,High risk,Somewhat agree,40.094,83.949,85.583,14,Low risk,Neither agree nor disagree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat disagree,Low risk,Somewhat agree,12.223,28.174,29.12,7,Medium risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,Medium risk,Strongly agree,10.103,22.378,23.944,7,Medium risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat disagree,Medium risk,Somewhat agree,13.201,25.632,28.633,7,5,6,5,7. It is completely efficient.,I agree strongly,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree strongly,I'm neutral about it,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,"I think it is fair, but in examples with zero arrests before it is little bit loose. I think that person who have concealed firearm is risk.",Maybe show all the numbers that it compute not only some of them.,Agree,Strongly agree,610af0eb860dfb6aeb567a49,640efe7026bea38a0dacddb7,63dce1b071e4438fefc7c55e
2023-03-13 04:44:36,2023-03-13 04:54:45,IP Address,94.63.239.75,100,609,True,2023-03-13 04:54:45,R_3aajc0I2QssglTr,,,,,38.731,-9.1373,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,27.87,54.54,55.442,2,Medium risk,Somewhat agree,Number of previous arrest,Strongly agree,Strongly agree,High risk,Strongly agree,27.211,44.598,46.152,5,Low risk,Somewhat agree,"Age,Number of previous arrest",Somewhat agree,Somewhat disagree,Low risk,Somewhat agree,16.46,27.915,28.854,7,Medium risk,Somewhat agree,"Gender,Number of previous arrest",Somewhat disagree,Somewhat agree,Medium risk,Somewhat agree,24.502,38.173,39.251,6,No risk,Strongly agree,"Number of juvenile major offenses,Number of previous arrest",Strongly agree,Strongly agree,No risk,Strongly agree,19.992,34.687,35.463,6,5,4,5,6,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,It predicts according to previous data from other prisoners,"I didn't understand some calculation the tool did, because I didn't have access to it completely, for example the fact that the calculation of the percentage didn't always add up to the final result.",Strongly agree,Strongly agree,5f7715b6b481f41e390d2bf0,640efe8539eb7ae9f0d75fa5,63dce1b071e4438fefc7c55e
2023-03-13 04:44:38,2023-03-13 04:55:28,IP Address,105.245.164.8,100,650,True,2023-03-13 04:55:28,R_12Kh89GMvj6AQeK,,,,,-29,24,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,2.142,102.933,127.123,4,High risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,10.795,23.518,24.022,14,No risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,7.489,26.192,27.989,13,Medium risk,Somewhat agree,"Age,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,29.733,67.47,68.7,10,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,Low risk,Strongly agree,12.552,41.391,42.58,10,7. I trust it completely.,7. It is completely predictable.,7. It is completely reliable.,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,"It predicts whether releasing the individual is no, low or high risk based on various factors being; age. the description and degree of charge, previous offences etc",I think the explanation was very straightforward. I understood it immediately so I can barely fault it,Agree,Strongly agree,610d37d392eceefd0088077b,640efe8ca4a98f7805c3aac6,63dce1b071e4438fefc7c55e
2023-03-13 04:44:18,2023-03-13 04:55:28,IP Address,89.64.38.25,100,670,True,2023-03-13 04:55:29,R_3k6RAWEkmvTx7kT,,,,,50.0585,19.9342,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,45.747,96.229,96.84,3,High risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Somewhat agree,High risk,Strongly agree,8.109,32.642,33.432,10,Low risk,Neither agree nor disagree,"Age,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Neither agree nor disagree,Low risk,Neither agree nor disagree,7.753,24.969,25.793,9,Medium risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,5.337,21.571,22.66,7,Low risk,Somewhat agree,"Age,Number of juvenile major offenses,Number of previous arrest,Description of the charge",Strongly agree,Somewhat agree,Low risk,Somewhat agree,55.995,93.177,93.718,9,3,7. It is completely predictable.,4,5,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,It considers specific criteria and compares them with the previously analysed data.,Good: showing what increases and what decreases the score,Agree,Agree,60fd53b7ece85e2d83a65501,640efe7c280b6e270906d83d,63dce1b071e4438fefc7c55e
