StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Why is recidivism risk calculated?,The algorithm calculates the risk of recidivism for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts high risk.",I trust the high risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts no risk.",I trust the no risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts medium risk.",I trust the medium risk prediction made by the artificial intelligence tool.,"Finally, you can reconsider your recidivism risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts low risk.",I trust the low risk prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021115""}","{""ImportId"":""QID1211021114""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021092""}","{""ImportId"":""QID1211021093""}","{""ImportId"":""QID1211021095""}","{""ImportId"":""QID1211021096""}","{""ImportId"":""QID1211021097""}","{""ImportId"":""QID1211021098""}","{""ImportId"":""QID1211021099""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021108""}","{""ImportId"":""QID1211021100""}","{""ImportId"":""QID1211021129""}","{""ImportId"":""QID1211021130""}","{""ImportId"":""QID1211021131""}","{""ImportId"":""QID1211021132""}","{""ImportId"":""QID1211021133""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021125""}","{""ImportId"":""QID1211021126""}","{""ImportId"":""QID1211021122""}","{""ImportId"":""QID1211021112""}","{""ImportId"":""QID1211021113""}","{""ImportId"":""QID1211021116""}","{""ImportId"":""QID1211021060""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID1211021084""}","{""ImportId"":""QID1211021085""}","{""ImportId"":""QID1211021123""}","{""ImportId"":""QID1211021087""}","{""ImportId"":""QID1211021088""}","{""ImportId"":""QID1211021089""}","{""ImportId"":""QID1211021090""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID1211021070""}","{""ImportId"":""QID1211021071""}","{""ImportId"":""QID1211021072""}","{""ImportId"":""QID1211021073""}","{""ImportId"":""QID1211021062""}","{""ImportId"":""QID1211021063""}","{""ImportId"":""QID1211021064""}","{""ImportId"":""QID1211021065""}","{""ImportId"":""QID1211021066""}","{""ImportId"":""QID1211021067""}","{""ImportId"":""QID1211021068""}","{""ImportId"":""QID1211021069""}","{""ImportId"":""QID1211021074""}","{""ImportId"":""QID1211021075""}","{""ImportId"":""QID1211021076""}","{""ImportId"":""QID1211021077""}","{""ImportId"":""QID1211021078""}","{""ImportId"":""QID1211021079""}","{""ImportId"":""QID1211021080""}","{""ImportId"":""QID1211021081""}","{""ImportId"":""QID1211021061_TEXT""}","{""ImportId"":""QID1211021110_TEXT""}","{""ImportId"":""QID1211021109""}","{""ImportId"":""QID1211021082""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-13 10:53:34,2023-03-13 11:01:13,IP Address,169.159.134.130,100,458,True,2023-03-13 11:01:13,R_2BmIYegX7yttSkv,,,,,-25.7599,28.2604,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,21.707,46.808,48.197,2,High risk,Strongly agree,"Age,Number of previous arrest",Somewhat agree,Somewhat agree,High risk,Strongly agree,15.664,45.793,47.156,8,No risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,5.555,17.31,17.959,7,Medium risk,Somewhat agree,"Gender,Race,Number of juvenile major offenses,Number of previous arrest,Description of the charge",Somewhat agree,Somewhat agree,Medium risk,Strongly agree,8.201,25.13,25.78,9,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,Low risk,Strongly agree,7.289,18.987,19.721,8,5,6,5,6,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,"AI predicts risk based on the age of the criminal, previous offences, level of offense, and the description of the offence itself.","The consideration of age, number of previous arrests, and the offence itself were good. However,  I am uncertain about the benefit of the consideration of gender and race. ",Agree,Agree,603659d5c391045d1e4b332b,640f55078b4041920adf7879,63dce1432c2fcf9fe8733616
2023-03-13 10:54:46,2023-03-13 11:01:23,IP Address,188.37.68.85,100,397,True,2023-03-13 11:01:24,R_3DvAPll9S0NRvWG,,,,,41.1691,-8.6793,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,32.283,65.552,67.76,2,High risk,Strongly agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,3.268,10.379,11.045,7,Medium risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,13.214,27.441,28.881,6,High risk,Strongly agree,"Number of previous arrest,The degree of the charge",Somewhat agree,Somewhat agree,High risk,Strongly agree,6.965,18.381,23.42,6,Low risk,Somewhat agree,"Age,Number of previous arrest",Strongly agree,Strongly agree,Low risk,Strongly agree,16.471,38.259,39.2,6,6,5,6,6,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,according to previous charges and the severity of the charge,everything was good,Agree,Agree,5ca52d313d3ff5001589059c,640f554d45c8f70accf744c7,63dce1432c2fcf9fe8733616
2023-03-13 10:53:53,2023-03-13 11:01:35,IP Address,169.0.82.56,100,462,True,2023-03-13 11:01:36,R_2qklPYYScFC78q9,,,,,-25.9766,28.1144,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,30.968,77.527,78.535,2,High risk,Somewhat agree,"Age,Number of  juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,5.863,19.016,20.04,8,Low risk,Somewhat agree,"Number of juvenile minor offenses,Number of previous arrest,Description of the charge",Strongly agree,Strongly agree,No risk,Strongly agree,9.216,24.8,25.631,8,High risk,Somewhat agree,"Age,Race,Description of the charge",Somewhat agree,Somewhat agree,Medium risk,Somewhat agree,16.099,52.083,53.465,7,Low risk,Somewhat agree,"Age,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,5.845,29.78,30.621,8,7. I trust it completely.,5,7. It is completely reliable.,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,using previous data,good explanation,Agree,Agree,60d301a6560cde87d53b2475,640f551ac56a84092669c658,63dce1432c2fcf9fe8733616
2023-03-13 10:53:28,2023-03-13 11:02:27,IP Address,2.82.162.19,100,538,True,2023-03-13 11:02:27,R_2qaPhSJZn3ue3JP,,,,,40.6501,-8.6502,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,27.69,57.767,58.691,2,High risk,Strongly agree,"Age,Number of juvenile major offenses,Number of  juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,High risk,Strongly agree,7.085,19.758,20.862,11,No risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Strongly agree,No risk,Strongly agree,18.15,40.029,41.205,10,Medium risk,Somewhat agree,"Gender,Race,Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,9.959,36.409,37.079,10,Medium risk,Somewhat agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest,Description of the charge,The degree of the charge",Somewhat agree,Somewhat agree,Low risk,Somewhat agree,4.892,37.264,38.096,9,6,6,6,5,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,predicts according to the person characteristics and criminal record,"it was written in a simple way, there were no complex words",Strongly agree,Strongly agree,60c11f097cf8862b2eb43f12,640f54ebf3a6310c42f7448a,63dce1432c2fcf9fe8733616
2023-03-13 10:56:50,2023-03-13 11:03:19,IP Address,147.162.110.41,100,389,True,2023-03-13 11:03:20,R_26o0F0rmWP4gxog,,,,,45.4096,11.8947,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,19.38,46.931,48.101,2,Medium risk,Somewhat agree,"Age,Number of previous arrest",Somewhat agree,Neither agree nor disagree,Medium risk,Somewhat agree,14.78,37.63,39.668,7,Low risk,Somewhat agree,"Number of previous arrest,The degree of the charge",Strongly agree,Somewhat agree,Low risk,Somewhat agree,6.382,16.038,16.92,7,Medium risk,Somewhat agree,"Age,Race,Number of previous arrest",Strongly agree,Somewhat agree,Medium risk,Somewhat agree,5.503,28.169,29.197,7,Low risk,Somewhat agree,Number of previous arrest,Strongly agree,Somewhat agree,Low risk,Somewhat agree,5.5,17.712,19.282,8,4,5,4,5,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree strongly,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"Combining info from age and number of previous crimes primarily, and then integrating all the other infos (gender, charge type and description etc)",Nothing in particular,Somewhat agree,Strongly agree,5faab1ce5f49ba466900d2b4,640f5534896a8f999e735fe7,63dce1432c2fcf9fe8733616
2023-03-13 10:54:47,2023-03-13 11:04:03,IP Address,86.130.253.139,100,555,True,2023-03-13 11:04:03,R_1LjOmdeznQd66vg,,,,,52.0958,-2.3291,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,31.703,106.438,107.98,7,Medium risk,Somewhat agree,"Age,Number of previous arrest",Somewhat agree,Somewhat agree,High risk,Strongly agree,2.525,41.556,42.414,16,Low risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Somewhat agree,Somewhat agree,Low risk,Strongly agree,5.462,31.385,32.294,18,Medium risk,Strongly agree,"Number of previous arrest,Description of the charge,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,1.648,23.778,27.007,15,No risk,Strongly agree,"Number of juvenile major offenses,Number of juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,No risk,Somewhat agree,4.151,26.847,28.009,12,5,7. It is completely predictable.,5,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,"Number of Previous offences, age, degree of previous offences, number of previous arrests.",Good was degree of previous offences. Bad was ethnicity.,Agree,Strongly agree,63d441d2a72a227e0fef6b71,640f554ff94fe496bb845b08,63dce1432c2fcf9fe8733616
2023-03-13 10:53:01,2023-03-13 11:04:20,IP Address,187.190.178.158,100,679,True,2023-03-13 11:04:21,R_1QxYm8sYrjT4zrz,,,,,25.6554,-100.3258,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,35.782,76.198,77.424,4,High risk,Somewhat agree,"Number of juvenile major offenses,Number of  juvenile minor offenses,Number of previous arrest",Strongly agree,Strongly agree,High risk,Strongly agree,17.886,36.552,37.993,7,No risk,Somewhat agree,Description of the charge,Strongly agree,Strongly agree,No risk,Strongly agree,16.12,26.854,27.86,5,Low risk,Somewhat agree,"Race,Number of previous arrest,The degree of the charge",Somewhat disagree,Somewhat disagree,Low risk,Somewhat agree,29.097,60.595,61.369,7,Low risk,Somewhat agree,The degree of the charge,Strongly agree,Strongly agree,Low risk,Strongly agree,27.559,48.268,49.892,5,4,6,4,7. It is completely efficient.,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,based on a series of background information,explanation was complete and useful,Strongly agree,Strongly agree,5ef6240c4ffead2d89f29cc1,640f54e66450951d2135dc50,63dce1432c2fcf9fe8733616
2023-03-13 10:54:10,2023-03-13 11:05:45,IP Address,5.249.19.243,100,695,True,2023-03-13 11:05:46,R_1dzCAdZO7IsxyNv,,,,,41.5515,-8.4204,anonymous,EN,Help the judge decide whether to release a prisoner.,Comparing a prisoner's information with prior observations.,33.69,104.444,115.208,4,Medium risk,Strongly agree,"Age,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,High risk,Somewhat agree,7.803,20.862,21.74,7,Low risk,Somewhat agree,"Number of previous arrest,Description of the charge",Strongly agree,Somewhat disagree,Low risk,Somewhat agree,25.301,53.039,54.018,6,Medium risk,Strongly agree,"Age,Number of previous arrest,The degree of the charge",Strongly agree,Strongly agree,Medium risk,Strongly agree,12.068,30.307,30.982,10,No risk,Somewhat agree,Race,Somewhat agree,Strongly agree,Low risk,Strongly agree,13.644,42.152,43.517,5,6,7. It is completely predictable.,5,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I disagree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,"The system goes to its knowledge base to see the identical cases it knows about, and from these draw conclusions about what is more likely or not to happen","The explanation of how it works was very understandable, nothing wrong to point out",Strongly agree,Strongly agree,6036cef19e90ed90ed58ffc6,640f55262be693fc51b82563,63dce1432c2fcf9fe8733616
