StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts healthy.",I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts overweight.",I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts obesity.",I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts underweight.",I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021504""}","{""ImportId"":""QID1211021503""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID1211021497""}","{""ImportId"":""QID1211021489""}","{""ImportId"":""QID1211021448""}","{""ImportId"":""QID1211021501""}","{""ImportId"":""QID1211021502""}","{""ImportId"":""QID1211021505""}","{""ImportId"":""QID1211021447""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID1211021472""}","{""ImportId"":""QID1211021473""}","{""ImportId"":""QID1211021475""}","{""ImportId"":""QID1211021476""}","{""ImportId"":""QID1211021477""}","{""ImportId"":""QID1211021478""}","{""ImportId"":""QID1211021479""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID1211021481""}","{""ImportId"":""QID1211021482""}","{""ImportId"":""QID1211021484""}","{""ImportId"":""QID1211021485""}","{""ImportId"":""QID1211021486""}","{""ImportId"":""QID1211021487""}","{""ImportId"":""QID1211021488""}","{""ImportId"":""QID115_FIRST_CLICK""}","{""ImportId"":""QID115_LAST_CLICK""}","{""ImportId"":""QID115_PAGE_SUBMIT""}","{""ImportId"":""QID115_CLICK_COUNT""}","{""ImportId"":""QID1211021512""}","{""ImportId"":""QID1211021513""}","{""ImportId"":""QID1211021523""}","{""ImportId"":""QID1211021524""}","{""ImportId"":""QID1211021525""}","{""ImportId"":""QID1211021526""}","{""ImportId"":""QID1211021527""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID1211021458""}","{""ImportId"":""QID1211021459""}","{""ImportId"":""QID1211021460""}","{""ImportId"":""QID1211021461""}","{""ImportId"":""QID1211021450""}","{""ImportId"":""QID1211021451""}","{""ImportId"":""QID1211021452""}","{""ImportId"":""QID1211021453""}","{""ImportId"":""QID1211021454""}","{""ImportId"":""QID1211021455""}","{""ImportId"":""QID1211021456""}","{""ImportId"":""QID1211021457""}","{""ImportId"":""QID1211021462""}","{""ImportId"":""QID1211021463""}","{""ImportId"":""QID1211021464""}","{""ImportId"":""QID1211021465""}","{""ImportId"":""QID1211021466""}","{""ImportId"":""QID1211021467""}","{""ImportId"":""QID1211021468""}","{""ImportId"":""QID1211021469""}","{""ImportId"":""QID1211021449_TEXT""}","{""ImportId"":""QID1211021499_TEXT""}","{""ImportId"":""QID1211021498""}","{""ImportId"":""QID1211021470""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2023-03-09 02:52:23,2023-03-09 03:01:35,IP Address,92.232.113.47,100,552,True,2023-03-09 03:01:36,R_xEPdMoUHfCH5cu5,,,,,56.0348,-3.4981,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,3.403,48.538,49.582,6,Healthy,Somewhat agree,"Gender,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency,Consumption of alcohol",Strongly agree,Strongly agree,Healthy,Strongly agree,1.698,26.893,27.496,17,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency,Time using technology devices",Strongly agree,Strongly agree,Overweight,Strongly agree,3.058,28.931,29.375,20,Obesity,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Obesity,Strongly agree,0.834,32.52,33.155,20,Underweight,Somewhat agree,"Age,Frequent consumption of high caloric food,Consumption of daily water,Physical activity frequency",Strongly agree,Strongly agree,Underweight,Strongly agree,3.46,62.647,65.56,18,7. I trust it completely.,7. It is completely predictable.,7. It is completely reliable.,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,Assigning a score to each category,"Explanation easy to understand ",Agree,Agree,5c3f6f13f50e760001ca9601,63dcd970e8af4bfbab953279,6409ac52b352dbf7495610fc
2023-03-09 02:52:52,2023-03-09 03:01:45,IP Address,88.199.173.101,100,533,True,2023-03-09 03:01:46,R_bdTdfOEkur4GD7z,,,,,50.4869,17.9737,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,9.792,28.48,33.701,2,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,8.724,22.323,23.544,7,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Strongly agree,90.43,104.798,105.53,8,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,4.174,13.126,14.18,7,Underweight,Somewhat agree,"Consumption of daily water,Physical activity frequency",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,4.041,11.161,11.943,6,6,6,6,6,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,yes,For me the explenation was easy to understand,Agree,Agree,5e85b023bd0d95000933aea6,63dcd970e8af4bfbab953279,6409ac7064a8ddb4c5ca9d85
2023-03-09 02:52:43,2023-03-09 03:03:28,IP Address,213.134.168.119,100,645,True,2023-03-09 03:03:29,R_3kGJ80DXtUp9aqP,,,,,52.2296,21.0067,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,4.026,96.788,99.198,13,Healthy,Somewhat agree,"Frequency of consumption of vegetables,Smoke,Calories consumption monitoring,Time using technology devices,Consumption of alcohol",Somewhat agree,Neither agree nor disagree,Healthy,Somewhat agree,30.944,112.527,113.544,11,Overweight,Somewhat agree,"Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,5.189,34.764,35.413,6,Overweight,Somewhat agree,"Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,9.354,27.337,28.03,8,Healthy,Somewhat agree,"Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Neither agree nor disagree,Neither agree nor disagree,Healthy,Somewhat agree,13.321,32.321,33.198,9,5,5,4,5,I agree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,by measuring the level of physical activity and eating the amount and type of meals,n/a,Neither agree nor disagree,Neither agree nor disagree,5fa925f7a78e1e0008f13a21,63dcd970e8af4bfbab953279,6409ac67027ee3e07f78fa81
2023-03-09 02:52:25,2023-03-09 03:05:19,IP Address,85.75.137.65,100,774,True,2023-03-09 03:05:20,R_1mf6nM2eeeC4Hyq,,,,,39.5032,20.2604,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,19.367,59.582,61.923,2,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,14.134,39.542,40.271,8,Obesity,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Strongly agree,8.261,25.667,26.524,8,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Strongly agree,26.924,93.308,94.167,8,Underweight,Somewhat agree,"Age,Frequent consumption of high caloric food,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Underweight,Strongly agree,7.881,27.646,28.725,11,6,5,6,6,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,"It takes into account mainly the family history, the tracking of calories and the high calorific food consumption, as well as physical training.","I didn't really understand how does it take into account the water consumption, the height and the age, so I would like an extra explanation of which is more important and must be taken more into account that the others.",Strongly agree,Strongly agree,6118cc8dd73a170efaa3f02f,63dcd970e8af4bfbab953279,6409ac5862e89d9006faf077
2023-03-09 02:52:28,2023-03-09 03:05:46,IP Address,85.253.41.171,100,797,True,2023-03-09 03:05:46,R_32IR2TLdYXZQnej,,,,,59.3577,27.4222,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,18.755,66.305,76.11,2,Healthy,Somewhat agree,"Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,20.726,40.476,41.028,7,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Strongly agree,Overweight,Strongly agree,28.547,83.027,84.551,9,Healthy,Somewhat agree,"Height,Consumption of food between meals,Physical activity frequency,Consumption of alcohol",Neither agree nor disagree,Somewhat agree,Overweight,Somewhat agree,21.92,67.878,68.911,15,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Strongly agree,Somewhat disagree,Healthy,Somewhat agree,34.241,70.918,72.702,14,6,7. It is completely predictable.,6,6,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,It uses collected data from individuals to predict health status of person based on different parameters.,I liked explanations.,Strongly agree,Neither agree nor disagree,6085aff0e61e80375d4a7bf5,63dcd970e8af4bfbab953279,6409ac5b04642e8dab0ddc75
2023-03-09 02:52:17,2023-03-09 03:06:31,IP Address,93.108.235.61,100,854,True,2023-03-09 03:06:32,R_CdnlUKxxTv1Qw4V,,,,,38.731,-9.1373,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,4.672,136.769,138.708,2,Healthy,Somewhat agree,"Family member has overweight,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,20.463,61.65,62.63,8,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency,Time using technology devices",Strongly agree,Strongly agree,Overweight,Strongly agree,15.728,34.637,35.842,10,Overweight,Neither agree nor disagree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,18.928,36.266,36.93,7,Healthy,Strongly agree,"Family member has overweight,Calories consumption monitoring,Physical activity frequency,Transportation used",Neither agree nor disagree,Somewhat disagree,Healthy,Somewhat agree,15.428,61.185,61.874,11,5,4,5,5,I agree somewhat,I agree strongly,I'm neutral about it,I'm neutral about it,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,based on the individuals data compared to statistical informations of thousands other individuals,"explanation was simple and clear, i think it could be more detailed on how each result is calculated",Strongly agree,Strongly agree,6167fc43b2a5467123087814,63dcd970e8af4bfbab953279,6409ac508ad1cf86831c1291
2023-03-09 02:53:47,2023-03-09 03:07:32,IP Address,102.39.227.187,100,825,True,2023-03-09 03:07:33,R_2qran0shIGdC7CR,,,,,-26.3811,27.8376,anonymous,EN,Based on weight and height,Analyzing the individual's aura and determining if it contains any indicators of obesity risk.,4.802,151.302,152.167,26,Overweight,Somewhat agree,"Age,Calories consumption monitoring",Somewhat agree,Neither agree nor disagree,Healthy,Somewhat agree,1.734,34.706,35.405,32,Obesity,Somewhat agree,"Age,Consumption of daily water",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,2.532,38.086,38.741,27,Overweight,Neither agree nor disagree,"Height,Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring",Somewhat agree,Somewhat agree,Obesity,Strongly agree,9.642,101.285,102.068,54,Healthy,Somewhat agree,"Gender,Age",Somewhat disagree,Neither agree nor disagree,Healthy,Neither agree nor disagree,3.208,60.308,60.958,44,4,3,4,4,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,"Gathered information ",The purpose of it. The bad is the detail of how it works,Agree,Agree,60e32283f6d0a670353fa793,63dcd970e8af4bfbab953279,6409ac7aa7918b759b192f42
2023-03-09 02:52:54,2023-03-09 03:08:42,IP Address,178.36.58.232,100,948,True,2023-03-09 03:08:43,R_1GvnodKdUwJxWlm,,,,,52.2296,21.0067,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,6.118,29.706,30.803,9,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Calories consumption monitoring,Physical activity frequency,Time using technology devices,Consumption of alcohol,Transportation used",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,5.149,136.571,138.059,72,Obesity,Strongly agree,"Height,Family member has overweight,Frequent consumption of high caloric food,Consumption of daily water,Calories consumption monitoring,Physical activity frequency,Time using technology devices",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,2.323,49.588,50.123,40,Obesity,Strongly agree,"Height,Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Obesity,Strongly agree,1.307,101.4,101.739,78,Healthy,Somewhat agree,"Gender,Height,Frequent consumption of high caloric food,Smoke",Somewhat disagree,Somewhat agree,Healthy,Somewhat agree,14.435,191.225,191.69,51,5,5,5,5,I agree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,"I am starting to think the main predictor is height (the taller the person, the lower the risk of obesity). The prediction appears pretty reliable.","Good: a quantitative information about the change in prediction given a certain predictor. Bad: limited information, not all predictors (I think) were shown on the graph.",Agree,Agree,56fd94d5291bb50008ea5805,63dcd970e8af4bfbab953279,6409ac5a8c213e0c784d504f
