StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above graph, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts underweight.",I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts overweight.",I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts obesity.",I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts healthy.",I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID89""}","{""ImportId"":""QID85""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID13""}","{""ImportId"":""QID11""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1210790346""}","{""ImportId"":""QID1210790347""}","{""ImportId"":""QID1210790377""}","{""ImportId"":""QID1210790378""}","{""ImportId"":""QID1210790379""}","{""ImportId"":""QID1210790380""}","{""ImportId"":""QID1210790381""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1210790385""}","{""ImportId"":""QID1210790386""}","{""ImportId"":""QID1210790396""}","{""ImportId"":""QID1210790397""}","{""ImportId"":""QID1210790398""}","{""ImportId"":""QID1210790399""}","{""ImportId"":""QID1210790400""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1210762948""}","{""ImportId"":""QID1210762949""}","{""ImportId"":""QID1210762950""}","{""ImportId"":""QID1210762951""}","{""ImportId"":""QID1210762940""}","{""ImportId"":""QID1210762941""}","{""ImportId"":""QID1210762942""}","{""ImportId"":""QID1210762943""}","{""ImportId"":""QID1210762944""}","{""ImportId"":""QID1210762945""}","{""ImportId"":""QID1210762946""}","{""ImportId"":""QID1210762947""}","{""ImportId"":""QID1210762956""}","{""ImportId"":""QID1210762957""}","{""ImportId"":""QID1210762958""}","{""ImportId"":""QID1210762959""}","{""ImportId"":""QID1210762960""}","{""ImportId"":""QID1210762961""}","{""ImportId"":""QID1210762962""}","{""ImportId"":""QID1210762963""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1210762964""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2023-02-03 02:00:35,2023-02-03 02:08:59,IP Address,217.161.91.235,100,504,True,2023-02-03 02:09:00,R_1MRmd7ZJPe42Q3X,,,,,51.4964,-0.1224,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,14.404,53.627,54.658,2,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Transportation used",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,8.465,43.312,44.423,10,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Neither agree nor disagree,Obesity,Somewhat agree,5.992,23.544,24.344,7,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of food between meals,Calories consumption monitoring",Somewhat agree,Somewhat disagree,Overweight,Somewhat agree,5.536,34.992,36.039,10,Healthy,Somewhat agree,"Age,Height,Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals",Somewhat agree,Somewhat agree,Healthy,Strongly agree,23.864,76.393,76.728,10,4,5,3,5,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I agree strongly,It uses its database of 1500 previous reviews and then applies that to certain criteria from the details given from the person its reviewing,"The explination about the AI and how it would review each of the four subject people was good but I didn't understand why the AI kept selecting different criteria to assess each individual. ",Agree,Agree,5bebf332cef79f00014d230c,6377973662417cc45adc3ddd,63dccd28c789bf6e54c18031
2023-02-03 02:00:57,2023-02-03 02:10:17,IP Address,83.6.38.123,100,559,True,2023-02-03 02:10:18,R_1odpWKCbJ1m3PpD,,,,,53.1307,23.1525,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,22.173,79.84,80.926,2,Healthy,Neither agree nor disagree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Neither agree nor disagree,Somewhat disagree,Healthy,Neither agree nor disagree,4.96,21.645,22.557,10,Overweight,Neither agree nor disagree,"Frequent consumption of high caloric food,Physical activity frequency,Time using technology devices",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,4.38,19.563,20.537,7,Overweight,Neither agree nor disagree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency,Consumption of alcohol",Neither agree nor disagree,Neither agree nor disagree,Overweight,Neither agree nor disagree,8.867,46.518,47.301,8,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of daily water,Calories consumption monitoring,Consumption of alcohol",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,20.073,47.138,47.801,10,5,5,5,5,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,The predictions are based on the specific data which is collected from the person interested. Those information are mostly connected with areas which have an influence on our metabolism.,"The explanation was clear and easy to understand. I didn't see any ""bad"" parts in it.",Agree,Agree,5f33a2851386a71b3a82a761,6377973662417cc45adc3ddd,63dccd35f59e1611331341e2
2023-02-03 02:00:35,2023-02-03 02:12:09,IP Address,178.37.220.17,100,693,True,2023-02-03 02:12:10,R_2afWRzDAv5AwLzh,,,,,50.2527,19.0284,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,3.219,64.202,65.48,6,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,40.869,54.765,55.542,6,Obesity,Somewhat agree,"Family member has overweight,Physical activity frequency,Time using technology devices",Somewhat agree,Somewhat agree,Overweight,Strongly agree,24.046,42.45,43.183,11,Overweight,Neither agree nor disagree,Family member has overweight,Somewhat agree,Neither agree nor disagree,Overweight,Somewhat agree,8.35,18.086,18.978,5,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals",Somewhat agree,Somewhat agree,Healthy,Strongly agree,7.567,25.732,26.733,7,3,5,2,4,I agree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I disagree strongly,I disagree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,"The system is not reliable. Makes predictions based on averaged data, but prioritizes some data over others, e.g. data about overweight in the family","The bad thing was that not all data was in the chart, the group ""others"" is not specific enough",Agree,Somewhat agree,5f0d65ef2ad0c60009209f0f,6377973662417cc45adc3ddd,63dccd2d3ebb6e66b76d06e5
2023-02-03 02:00:40,2023-02-03 02:12:26,IP Address,212.93.107.130,100,705,True,2023-02-03 02:12:27,R_3n7yVGanwcS2YB5,,,,,56.9496,24.0978,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,26.482,67.272,68.207,2,Healthy,Strongly agree,"Gender,Age,Height,Physical activity frequency",Strongly disagree,Strongly disagree,Healthy,Strongly agree,25.002,33.661,34.334,8,Overweight,Somewhat agree,"Height,Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of daily water,Calories consumption monitoring",Somewhat disagree,Somewhat disagree,Overweight,Strongly agree,38.284,70.734,71.258,10,Overweight,Somewhat agree,"Gender,Height,Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,9.342,62.263,62.533,14,Healthy,Strongly agree,"Number of main meals,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,24.296,74.211,75.952,10,3,4,2,2,I agree somewhat,I disagree somewhat,I disagree strongly,I disagree strongly,I agree somewhat,I disagree strongly,I disagree somewhat,I'm neutral about it,I disagree strongly,I disagree strongly,I disagree strongly,I disagree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"Based on gender, height, meals, family","Mostly it was good explanation. Right i have almost forgot the explanation. ",Agree,Agree,5ff4cd8b8fd71dc5b3de5c02,6377973662417cc45adc3ddd,63dccd342afe78b216ff14c0
2023-02-03 02:00:34,2023-02-03 02:12:53,IP Address,176.221.121.180,100,739,True,2023-02-03 02:12:53,R_3RwvZrverJfuc1p,,,,,52.5353,19.7676,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,24.861,61.737,63.277,2,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Transportation used",Strongly agree,Somewhat agree,Healthy,Strongly agree,13.786,45.755,46.338,9,Obesity,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food",Strongly agree,Strongly agree,Overweight,Strongly agree,20.498,41.187,42.287,6,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of food between meals,Calories consumption monitoring",Somewhat agree,Somewhat disagree,Overweight,Somewhat agree,10.207,37.634,38.177,9,Overweight,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Somewhat agree,Healthy,Somewhat agree,48.711,84.561,85.241,9,5,4,5,6,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,It calculates available information to predict how it will impact weight,"It showed change in % of every factor, but it didn't explain why it changed by that % in particular.",Strongly agree,Strongly agree,5df51aaedf98d93923d5304f,6377973662417cc45adc3ddd,63dccd079211e739baf98702
2023-02-03 01:59:37,2023-02-03 02:13:06,IP Address,91.146.81.109,100,808,True,2023-02-03 02:13:06,R_3IQdt6g2WdzENsW,,,,,59.3755,28.2032,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,13.6,57.322,58.385,2,Healthy,Neither agree nor disagree,Family member has overweight,Somewhat agree,Neither agree nor disagree,Underweight,Strongly agree,9.777,31.126,31.884,5,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring",Somewhat agree,Somewhat agree,Overweight,Strongly agree,78.435,102.268,103.307,8,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring",Somewhat agree,Neither agree nor disagree,Obesity,Strongly agree,41.084,73.334,74.071,7,Healthy,Somewhat agree,"Frequency of consumption of vegetables,Calories consumption monitoring",Strongly agree,Somewhat agree,Healthy,Strongly agree,10.806,42.193,43.415,6,4,5,4,5,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,The tool predicts scenarios based on people's eating habits as well as their genetic makeup.,"Everything was clearly explained, but the graphics take a little time.",Somewhat agree,Agree,5a7875355292b80001227f63,6377973662417cc45adc3ddd,63dcccecab7e86e33ff1db47
2023-02-03 01:59:52,2023-02-03 02:13:56,IP Address,85.247.118.152,100,844,True,2023-02-03 02:13:57,R_3J4aqxVz1wpoLOS,,,,,38.731,-9.1373,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,24.966,123.434,126.149,2,Healthy,Somewhat agree,"Height,Number of main meals",Somewhat agree,Somewhat disagree,Healthy,Strongly agree,19.17,55.81,56.983,7,Healthy,Neither agree nor disagree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,4.056,49.304,50.032,10,Overweight,Somewhat disagree,"Height,Family member has overweight,Number of main meals,Consumption of food between meals,Consumption of alcohol",Somewhat disagree,Somewhat disagree,Overweight,Somewhat agree,12.312,68.359,69.284,9,Healthy,Somewhat agree,"Family member has overweight,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,23.494,83.916,85.804,9,3,6,3,3,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,"The tool makes predictions mainly based on family history but also on individual factors, such as height and food consumption.","Some of the explanation seemed vague, and some of the factors even though may be predictable they don't necessarily mean they are right.",Agree,Neither agree nor disagree,6119bbc590ef98b8e7bc2d4f,6377973662417cc45adc3ddd,63dcccffb4c261108a1fe845
2023-02-03 02:00:47,2023-02-03 02:15:25,IP Address,102.249.3.251,100,877,True,2023-02-03 02:15:26,R_BM0T0G6xQqKnoMp,,,,,-29.8556,31.0449,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,15.794,56.434,61.718,2,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Number of main meals,Transportation used",Strongly agree,Strongly agree,Underweight,Strongly agree,26.726,67.148,67.971,9,Overweight,Somewhat agree,"Number of main meals,Consumption of daily water,Physical activity frequency,Consumption of alcohol",Strongly agree,Strongly agree,Overweight,Strongly agree,25.282,61.154,62.616,8,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency,Transportation used",Strongly agree,Strongly agree,Obesity,Strongly agree,15.988,35.991,36.716,12,Healthy,Somewhat agree,"Age,Frequent consumption of high caloric food,Calories consumption monitoring",Strongly agree,Strongly agree,Healthy,Strongly agree,7.234,40.405,41.366,7,7. I trust it completely.,4,7. It is completely reliable.,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,It looks at a selected number of factors which based to a previous study group of 1500 people - it uses the fore knowledge to predict patterns and draw conclusions on the state of the person currently being studied.,"It was a simple explanation without scientific terminology that can be hard to wrap my head around. I wish the explanation shed a little light on patterns eg. 60% of people who had x, y and z in common were a certain percentage more likely to be f,g and h.",Strongly agree,Strongly agree,60e6b73b67e5151ba27b4346,6377973662417cc45adc3ddd,63dcccf6f1d762ecec4e3990
2023-02-03 02:01:02,2023-02-03 02:16:16,IP Address,93.47.32.85,100,913,True,2023-02-03 02:16:16,R_3NUkvICgLCrDysN,,,,,43.6432,13.3026,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,20.244,62.769,64.102,2,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals",Neither agree nor disagree,Somewhat disagree,Healthy,Neither agree nor disagree,31.651,115.861,117.201,7,Overweight,Somewhat agree,Family member has overweight,Somewhat agree,Neither agree nor disagree,Overweight,Strongly agree,15.887,37.814,39.633,5,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals",Somewhat agree,Somewhat disagree,Overweight,Somewhat agree,40.189,69.052,71.299,7,Healthy,Neither agree nor disagree,"Frequent consumption of high caloric food,Consumption of food between meals",Somewhat agree,Somewhat agree,Healthy,Strongly agree,28.176,45.47,46.663,6,3,3,3,4,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,I'm neutral about it,I agree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,Sometimes I think it provides too extreme previsions,"The bars used to explain the influence of each factor was good, but it wans't the fact that not every factor was always included in the explanation",Agree,Agree,614efd595bcde57c73d0ecf7,6377973662417cc45adc3ddd,63dcccfea1a889ade174d51a
2023-02-03 01:59:39,2023-02-03 02:16:48,IP Address,41.114.58.38,100,1028,True,2023-02-03 02:16:48,R_2qwmea2H16FRunE,,,,,-25.7599,28.2604,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,23.388,110.241,110.779,12,Healthy,Strongly agree,Consumption of food between meals,Neither agree nor disagree,Somewhat disagree,Healthy,Somewhat agree,0.784,85.057,86.503,10,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food",Strongly agree,Strongly agree,Overweight,Strongly agree,23.843,44.337,45.757,10,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Somewhat agree,Somewhat agree,Overweight,Neither agree nor disagree,45.088,78.234,79.894,12,Healthy,Strongly agree,"Age,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Strongly agree,Healthy,Strongly agree,1.028,117.694,119.252,16,5,6,5,6,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,"it predicts based on family history, physical activity and eating habits",the reasons catergorizing an individual was good in the explanation and the graph was bad in the explanation,Agree,Agree,60ebf4e13a9bb59b8eb1d822,6377973662417cc45adc3ddd,63dccce1d9ddbaccff062f4d
2023-02-03 02:00:49,2023-02-03 02:18:29,IP Address,49.225.159.199,100,1060,True,2023-02-03 02:18:30,R_2c7Upn23NwTqo4F,,,,,-43.502,172.5607,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,45.225,182.488,185.88,2,Obesity,Somewhat agree,"Family member has overweight,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,13.781,54.228,56.276,7,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,19.344,33.76,34.866,8,Underweight,Somewhat agree,"Family member has overweight,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,103.58,182.372,183.468,7,Overweight,Somewhat agree,"Age,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,47.876,61.34,62.145,7,5,5,5,6,I disagree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,It predict based on the information it has of the person involved,"The explanation is not too elaborate ",Somewhat agree,Somewhat agree,5f1fdcbf62e3b621d93d866b,6377973662417cc45adc3ddd,63dccd34138448e5f9d9abfc
