StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts underweight.",I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts overweight.",I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts obesity.",I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts healthy.",I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021312""}","{""ImportId"":""QID1211021311""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021305""}","{""ImportId"":""QID1211021297""}","{""ImportId"":""QID1211021256""}","{""ImportId"":""QID1211021309""}","{""ImportId"":""QID1211021310""}","{""ImportId"":""QID1211021313""}","{""ImportId"":""QID1211021250""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021280""}","{""ImportId"":""QID1211021281""}","{""ImportId"":""QID1211021283""}","{""ImportId"":""QID1211021284""}","{""ImportId"":""QID1211021285""}","{""ImportId"":""QID1211021286""}","{""ImportId"":""QID1211021287""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211021289""}","{""ImportId"":""QID1211021290""}","{""ImportId"":""QID1211021292""}","{""ImportId"":""QID1211021293""}","{""ImportId"":""QID1211021294""}","{""ImportId"":""QID1211021295""}","{""ImportId"":""QID1211021296""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021320""}","{""ImportId"":""QID1211021321""}","{""ImportId"":""QID1211021251""}","{""ImportId"":""QID1211021252""}","{""ImportId"":""QID1211021253""}","{""ImportId"":""QID1211021254""}","{""ImportId"":""QID1211021255""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021266""}","{""ImportId"":""QID1211021267""}","{""ImportId"":""QID1211021268""}","{""ImportId"":""QID1211021269""}","{""ImportId"":""QID1211021258""}","{""ImportId"":""QID1211021259""}","{""ImportId"":""QID1211021260""}","{""ImportId"":""QID1211021261""}","{""ImportId"":""QID1211021262""}","{""ImportId"":""QID1211021263""}","{""ImportId"":""QID1211021264""}","{""ImportId"":""QID1211021265""}","{""ImportId"":""QID1211021270""}","{""ImportId"":""QID1211021271""}","{""ImportId"":""QID1211021272""}","{""ImportId"":""QID1211021273""}","{""ImportId"":""QID1211021274""}","{""ImportId"":""QID1211021275""}","{""ImportId"":""QID1211021276""}","{""ImportId"":""QID1211021277""}","{""ImportId"":""QID1211021257_TEXT""}","{""ImportId"":""QID1211021307_TEXT""}","{""ImportId"":""QID1211021306""}","{""ImportId"":""QID1211021278""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-02-05 15:37:45,2023-02-05 15:43:27,IP Address,148.63.25.56,100,342,True,2023-02-05 15:43:28,R_2UfiLCatY7HIApW,,,,,38.6146,-9.1651,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,4.839,23.263,25.206,2,Healthy,Strongly agree,"Frequent consumption of high caloric food,Consumption of daily water,Calories consumption monitoring",Somewhat agree,Somewhat agree,Underweight,Strongly agree,5.426,19.81,20.379,9,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals",Somewhat agree,Somewhat agree,Overweight,Strongly agree,11.919,24.262,24.848,9,Overweight,Strongly agree,"Height,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Transportation used",Strongly agree,Strongly agree,Obesity,Strongly agree,9.16,24.552,25.126,12,Overweight,Somewhat agree,"Height,Consumption of daily water",Somewhat agree,Strongly agree,Healthy,Strongly agree,19.122,55.842,56.382,8,5,4,4,5,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,"considering the criteria, like a family member who is overweight",it was hard to mentally calculate in which category it would fall on,Agree,Strongly agree,5de15e456247ef000dfc8b36,63e02fb8f0ad73ed9c667bc3,63dcdc51df3c7ba300977ea6
2023-02-05 15:38:33,2023-02-05 15:48:11,IP Address,201.172.204.126,100,578,True,2023-02-05 15:48:12,R_3rTbGvPLKtisemo,,,,,25.6677,-100.2514,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,3.892,19.132,22.283,4,Healthy,Somewhat agree,"Family member has overweight,Consumption of food between meals",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,6.167,66.567,67.399,12,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Strongly agree,Overweight,Strongly agree,14.638,23.078,24.069,7,Overweight,Strongly agree,"Family member has overweight,Frequency of consumption of vegetables",Somewhat agree,Somewhat agree,Overweight,Strongly agree,9.639,29.111,31.737,6,Healthy,Somewhat agree,"Family member has overweight,Consumption of food between meals",Strongly agree,Strongly agree,Healthy,Strongly agree,24.56,43.24,44.914,6,5,6,5,5,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,"By assigning scores to different factors abouit the person habits and other info. ",The explanation was good but sometimes it seemed like there was missing information about how the tool was predicting the weight of each person,Agree,Strongly agree,5ab308940527ba0001c15a9f,63e02fe790aa775d50564db0,63dcdc51df3c7ba300977ea6
2023-02-05 15:39:41,2023-02-05 15:48:17,IP Address,86.6.253.202,100,516,True,2023-02-05 15:48:18,R_2czRx0QdYSAjqlQ,,,,,53.5477,-2.1259,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,5.386,38.04,39.651,10,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Transportation used",Somewhat disagree,Somewhat disagree,Underweight,Somewhat disagree,1.092,50.437,51.001,25,Overweight,Somewhat agree,"Height,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Overweight,Strongly agree,1.681,38.601,39.178,21,Overweight,Somewhat agree,"Family member has overweight,Frequency of consumption of vegetables,Consumption of food between meals,Calories consumption monitoring",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,0.895,62.338,62.887,29,Healthy,Strongly agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Strongly agree,Healthy,Strongly agree,0.834,29.983,30.392,23,5,5,4,6,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree strongly,I agree strongly,"The tool uses the frequency of certain behaviours and circumstances to predict someone’s BMI category using percentages. ","It was good to see how different factors affected the percentage of someone’s BMI. But sometimes there were too many categories in the explanation. ",Agree,Agree,6054f3401b428b9fac7e2864,63e03025dcfd05ca911c7482,63dcdc51df3c7ba300977ea6
2023-02-05 15:37:42,2023-02-05 15:48:25,IP Address,89.114.38.138,100,642,True,2023-02-05 15:48:25,R_2c7RyXLRtuWCO1g,,,,,38.752,-9.2279,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,18.458,45.251,46.818,2,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals",Somewhat agree,Somewhat agree,Healthy,Strongly agree,46.54,73.034,74.113,9,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food",Neither agree nor disagree,Somewhat disagree,Obesity,Somewhat agree,14.107,28.973,29.89,6,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,18.053,46.441,47.281,7,Healthy,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Strongly agree,Healthy,Strongly agree,27.256,58.041,58.896,10,5,6,5,5,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,I'm neutral about it,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"It predicts based mainly on family, food intake and calories consumption monitoring.",The last example was a bad explanation because it didn't take into consideration some facts that the other times did.,Agree,Agree,5bf85ab2f2210900011995fc,63e02fa1a8afe87547230183,63dcdc51df3c7ba300977ea6
2023-02-05 15:38:28,2023-02-05 15:48:32,IP Address,178.235.176.79,100,604,True,2023-02-05 15:48:32,R_2wgnOVhOdHEX5Xb,,,,,52.2296,21.0067,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,16.996,41.595,43.036,2,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Transportation used",Strongly agree,Somewhat disagree,Healthy,Somewhat agree,37.252,69.652,72.39,10,Obesity,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food",Strongly agree,Strongly disagree,Obesity,Somewhat agree,14.487,27.371,27.887,7,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Strongly agree,Obesity,Strongly agree,27.92,108.158,111.981,11,Overweight,Strongly agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring",Strongly agree,Somewhat disagree,Overweight,Somewhat agree,9.717,39.209,40.243,9,4,3,3,4,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,I disagree somewhat,I disagree somewhat,I disagree strongly,I disagree strongly,I disagree somewhat,I'm neutral about it,I disagree somewhat,I disagree strongly,"Based on several different factors, but most importantly the family overweight history, frequency of high calorie consumption and vegetable consumption and monitoring of calorie intake","I clearly understood how the AI was predicting, what I didn't understand is why it took into consideration only several from the proposed factors",Strongly agree,Strongly agree,5ed746d51802271c44660192,63e02fe23846724a18736090,63dcdc51df3c7ba300977ea6
2023-02-05 15:38:14,2023-02-05 15:48:59,IP Address,79.146.135.120,100,644,True,2023-02-05 15:48:59,R_3GlYU9kWWZI8sJP,,,,,40.3048,-3.7407,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,14.884,126.81,128.749,2,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Physical activity frequency",Somewhat disagree,Somewhat disagree,Healthy,Somewhat agree,20.964,35.6,36.48,8,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of alcohol",Somewhat agree,Somewhat agree,Overweight,Neither agree nor disagree,16.453,52.349,53.843,12,Overweight,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Neither agree nor disagree,29.839,51.905,52.965,11,Overweight,Neither agree nor disagree,"Age,Height,Family member has overweight,Calories consumption monitoring",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,21.851,36.201,37.822,10,6,6,5,6,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I disagree somewhat,I agree strongly,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,mainly through age and height but it takes into account other factors,i didn't like the percentage system but i understand that it it the most optimal solution,Agree,Agree,5e5c1cbb7d7be93f7c60c82a,63e02fb47d29c3f6a862f002,63dcdc51df3c7ba300977ea6
2023-02-05 15:38:01,2023-02-05 15:51:08,IP Address,86.21.135.137,100,786,True,2023-02-05 15:51:08,R_32Pxn8r7Zklpcbd,,,,,52.5678,1.662,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,4.948,73.95,74.549,14,Overweight,Somewhat disagree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,5.603,141.92,142.781,49,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food",Neither agree nor disagree,Somewhat disagree,Overweight,Somewhat agree,2.826,29.796,30.206,22,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,Physical activity frequency",Somewhat agree,Somewhat disagree,Overweight,Somewhat agree,1.876,47.965,48.564,26,Healthy,Somewhat agree,"Family member has overweight,Consumption of food between meals",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,1.5,39.108,39.588,20,3,3,2,2,I agree somewhat,I disagree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,"I think it is a little unpredictable and not necessarily very accurate ","It was a little confusing. I like how it was all broken down after it gave you the prediction ",Agree,Agree,59ca473c81eacc000137f736,63e02fbb2e3c355648ed47a6,63dcdc51df3c7ba300977ea6
2023-02-05 15:37:58,2023-02-05 15:51:56,IP Address,105.233.235.106,100,837,True,2023-02-05 15:51:56,R_27p0G9QCXHoAkLI,,,,,-29.1252,26.163,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,29.045,85.412,87.204,3,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency,Time using technology devices",Strongly agree,Strongly agree,Underweight,Strongly agree,28.836,60.402,61.276,13,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Calories consumption monitoring,Physical activity frequency,Time using technology devices",Strongly agree,Strongly agree,Obesity,Strongly agree,9.445,34.162,36.72,15,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Transportation used",Strongly agree,Strongly agree,Obesity,Strongly agree,13.51,37.31,39.766,11,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Smoke,Calories consumption monitoring,Consumption of alcohol",Strongly agree,Strongly agree,Healthy,Strongly agree,49.748,84.949,87.42,11,6,5,6,5,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,"I takes into consideration the monitoring of calories, physical activity, transportation used, amount of water drank and how many meals are consumed each day.",GOOD - What BMI is and how it works to predict obesity in an individual. BAD - How each factor of what a person does on a daily affects the percentage used to categorise the individual into their BMI weight prediction.,Agree,Agree,613215058b0db52ae5a2a2a7,63e02fc1882fbd0aa24a7f2b,63dcdc51df3c7ba300977ea6
