StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts healthy.",I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts overweight.",I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts obesity.",I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the above information, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the graph above, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts underweight.",I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021212""}","{""ImportId"":""QID1211021211""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021205""}","{""ImportId"":""QID1211021197""}","{""ImportId"":""QID1211021156""}","{""ImportId"":""QID1211021209""}","{""ImportId"":""QID1211021210""}","{""ImportId"":""QID1211021213""}","{""ImportId"":""QID1211021155""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211021180""}","{""ImportId"":""QID1211021181""}","{""ImportId"":""QID1211021183""}","{""ImportId"":""QID1211021184""}","{""ImportId"":""QID1211021185""}","{""ImportId"":""QID1211021186""}","{""ImportId"":""QID1211021187""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021189""}","{""ImportId"":""QID1211021190""}","{""ImportId"":""QID1211021192""}","{""ImportId"":""QID1211021193""}","{""ImportId"":""QID1211021194""}","{""ImportId"":""QID1211021195""}","{""ImportId"":""QID1211021196""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021220""}","{""ImportId"":""QID1211021221""}","{""ImportId"":""QID1211021224""}","{""ImportId"":""QID1211021225""}","{""ImportId"":""QID1211021226""}","{""ImportId"":""QID1211021227""}","{""ImportId"":""QID1211021228""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021166""}","{""ImportId"":""QID1211021167""}","{""ImportId"":""QID1211021168""}","{""ImportId"":""QID1211021169""}","{""ImportId"":""QID1211021158""}","{""ImportId"":""QID1211021159""}","{""ImportId"":""QID1211021160""}","{""ImportId"":""QID1211021161""}","{""ImportId"":""QID1211021162""}","{""ImportId"":""QID1211021163""}","{""ImportId"":""QID1211021164""}","{""ImportId"":""QID1211021165""}","{""ImportId"":""QID1211021170""}","{""ImportId"":""QID1211021171""}","{""ImportId"":""QID1211021172""}","{""ImportId"":""QID1211021173""}","{""ImportId"":""QID1211021174""}","{""ImportId"":""QID1211021175""}","{""ImportId"":""QID1211021176""}","{""ImportId"":""QID1211021177""}","{""ImportId"":""QID1211021157_TEXT""}","{""ImportId"":""QID1211021207_TEXT""}","{""ImportId"":""QID1211021206""}","{""ImportId"":""QID1211021178""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2023-03-13 04:39:50,2023-03-13 04:47:09,IP Address,31.205.251.26,100,438,True,2023-03-13 04:47:09,R_2SoR48H1ZO6RnnS,,,,,52.4606,-1.9238,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,5.865,35.422,36.193,5,Healthy,Somewhat agree,"Age,Physical activity frequency",Strongly agree,Somewhat agree,Healthy,Somewhat agree,12.295,24.503,25.539,9,Overweight,Somewhat disagree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of alcohol",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,27.288,64.033,64.864,13,Overweight,Somewhat agree,Physical activity frequency,Strongly agree,Somewhat agree,Overweight,Neither agree nor disagree,18.924,28.706,29.47,9,Healthy,Somewhat agree,Frequent consumption of high caloric food,Somewhat agree,Somewhat disagree,Healthy,Neither agree nor disagree,15.275,31.43,32.116,9,4,5,4,5,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"It uses data such as age, family members weight, height, physical activity, alcohol, number of meals, etc to produce an estimate of whether the person is underweight, healthy, overweight or obese",It tells you which factors had the most influence in the decision reached. It didn't explain why.,Somewhat agree,Somewhat agree,61250df294a7c7b186c7f838,63dcdac0d47a604d0b830b47,640efd6fdce534161d32619e
2023-03-13 04:39:14,2023-03-13 04:48:46,IP Address,185.239.42.134,100,572,True,2023-03-13 04:48:47,R_2eaK0Adq8pgVekj,,,,,50.1195,21.8589,anonymous,EN,Based on weight and height,Analyzing the individual's aura and determining if it contains any indicators of obesity risk.,40.107,66.554,68.074,2,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency,Transportation used",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,4.369,23.074,23.869,11,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency,Consumption of alcohol,Transportation used",Somewhat agree,Neither agree nor disagree,Overweight,Somewhat agree,11.121,52.889,53.84,12,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Physical activity frequency,Consumption of alcohol",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,4.567,26.207,26.934,12,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,4.742,19.487,20.1,12,4,5,5,5,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,collects informations and gives it to algorithms,the graphs was good explanation and visualisation,Somewhat agree,Somewhat agree,60f88d7fef1959734061e5a7,63dcdac0d47a604d0b830b47,640efd50dce534161d32619d
2023-03-13 04:38:57,2023-03-13 04:48:58,IP Address,196.250.144.210,100,601,True,2023-03-13 04:48:59,R_1eL5X2dinbMTeIe,,,,,-33.6312,19.0001,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,14.117,54.484,55.247,7,Overweight,Somewhat agree,Physical activity frequency,Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,1.848,37.052,37.784,15,Overweight,Somewhat agree,Age,Strongly agree,Strongly agree,Overweight,Strongly agree,1.529,12.323,12.878,13,Overweight,Somewhat agree,Family member has overweight,Strongly agree,Strongly agree,Obesity,Strongly agree,1.739,36.231,36.6,19,Healthy,Somewhat agree,Frequent consumption of high caloric food,Somewhat agree,Strongly agree,Underweight,Strongly agree,1.152,54.434,55.068,16,5,4,5,4,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,"By using different factors and making emphasis on the ","Everything ",Agree,Agree,60a23dc348338328b5f27405,63dcdac0d47a604d0b830b47,640efd300de40b47750efa56
2023-03-13 04:39:54,2023-03-13 04:49:28,IP Address,146.102.140.53,100,574,True,2023-03-13 04:49:28,R_CfeYn3LvIJfW3mx,,,,,50.0883,14.4124,anonymous,EN,Based on weight and height,Analyzing the individual's aura and determining if it contains any indicators of obesity risk.,11.34,58.059,63.377,2,Healthy,Strongly agree,"Frequency of consumption of vegetables,Calories consumption monitoring",Strongly agree,Strongly agree,Healthy,Strongly agree,11.696,29.64,30.433,8,Obesity,Strongly agree,"Age,Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,12.524,31.929,33.049,7,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,23.612,57.653,59.327,7,Healthy,Somewhat agree,"Age,Frequent consumption of high caloric food",Neither agree nor disagree,Somewhat agree,Healthy,Somewhat agree,22.487,55.81,56.989,8,5,5,4,4,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,It predicts based on data that is given about the person.,I think the explanation was good.,Somewhat agree,Agree,5f803bb7cab27202b3d9c7cf,63dcdac0d47a604d0b830b47,640efd703137cdf732d0bc63
2023-03-13 04:39:58,2023-03-13 04:50:12,IP Address,90.205.240.10,100,614,True,2023-03-13 04:50:12,R_24BCZYMcwjAUyU3,,,,,52.4606,-1.9238,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,12.837,38.529,44.297,2,Healthy,Somewhat agree,"Age,Physical activity frequency,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,7.092,31.451,32.254,8,Obesity,Strongly agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of alcohol",Somewhat agree,Neither agree nor disagree,Obesity,Somewhat agree,6.893,64.053,65.374,9,Overweight,Somewhat agree,"Age,Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,30.24,53.586,54.839,8,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of daily water",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,19.591,43.731,44.649,8,5,5,5,5,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,"It mainly takes in age, especially, physical activity, heredity and high caloric food consumption to determine weight.","It was fairly detailed, I understood how it worked, I'm not sure it's particularly complicated to be honest.",Agree,Somewhat agree,5e16143494d5eebfa615afe6,63dcdac0d47a604d0b830b47,640efd77d32eea61aa0ba0b1
2023-03-13 04:39:55,2023-03-13 04:51:08,IP Address,178.59.4.246,100,672,True,2023-03-13 04:51:08,R_3gTzjzbIw7PMOUj,,,,,39.3616,22.9414,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,13.446,43.342,123.301,2,Healthy,Somewhat agree,"Gender,Age,Physical activity frequency,Consumption of alcohol,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,14.449,40.969,41.746,9,Overweight,Neither agree nor disagree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of alcohol",Strongly agree,Somewhat agree,Overweight,Somewhat agree,4.449,28.001,29.244,9,Overweight,Neither agree nor disagree,"Age,Family member has overweight,Physical activity frequency",Strongly agree,Somewhat agree,Overweight,Somewhat agree,42.836,79.836,80.681,8,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of daily water",Strongly agree,Somewhat agree,Underweight,Somewhat agree,6.139,22.17,22.965,8,5,6,5,5,I agree somewhat,I agree strongly,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,By taking into account specific information about the person and comparing it to others in order to extrapolate their BMI.,"It was a simple and easy to understand overview, but didn't explain in depth how the system chooses its criteria.",Strongly agree,Strongly agree,5e3abbc3eab8662c57206f96,63dcdac0d47a604d0b830b47,640efd79a920bb4a1c877079
2023-03-13 04:39:44,2023-03-13 04:51:58,IP Address,82.84.217.166,100,733,True,2023-03-13 04:51:58,R_1CdKztppYhkGexg,,,,,39.2302,9.121,anonymous,EN,Based on weight and height,Analyzing the individual's aura and determining if it contains any indicators of obesity risk.,0.918,78.842,80.031,5,Healthy,Strongly agree,"Physical activity frequency,Consumption of alcohol",Strongly agree,Somewhat agree,Healthy,Somewhat agree,24.731,43.78,46.471,23,Overweight,Neither agree nor disagree,"Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,4.983,88.674,89.389,22,Overweight,Somewhat agree,"Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat disagree,Overweight,Somewhat agree,33.139,63.845,64.62,16,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Consumption of daily water",Strongly agree,Somewhat agree,Underweight,Neither agree nor disagree,32.923,43.567,44.306,9,5,6,6,5,I agree somewhat,I agree strongly,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree strongly,"I think it does the right job, but not as good as a doctor or as a person who studied for doing this job","The explanation was all clear, maybe it could use some more informations to be more precise. ",Agree,Somewhat agree,5ec12ed7a66dbf01c7d740c1,63dcdac0d47a604d0b830b47,640efd5d936387c88f0ba0d3
2023-03-13 04:40:12,2023-03-13 04:52:09,IP Address,45.222.74.178,100,717,True,2023-03-13 04:52:10,R_2arAFiZjxMmQnoR,,,,,-34.0858,18.8415,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,3.886,81.697,85.195,4,Healthy,Strongly agree,Transportation used,Strongly agree,Somewhat agree,Healthy,Strongly agree,18.135,70.159,71.26,10,Overweight,Somewhat agree,Family member has overweight,Strongly agree,Somewhat agree,Overweight,Strongly agree,5.952,20.021,20.946,9,Overweight,Somewhat agree,Age,Somewhat agree,Somewhat agree,Overweight,Strongly agree,19.115,44.164,44.763,12,Healthy,Strongly agree,Frequent consumption of high caloric food,Strongly agree,Somewhat disagree,Healthy,Strongly agree,10.553,24.421,25.394,8,6,6,5,6,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,"It predicts mostly based in family, age, alchol consumption, and exercise.",The good thing about the explanation was the result graph on how it made the prediction. Hmm i can't say there was a bad thing about the explanation.,Strongly agree,Strongly agree,611e58f3b7cfe10fe9eef3df,63dcdac0d47a604d0b830b47,640efd71a8010c168f0c3597
