StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts healthy.",I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts overweight.",I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts obesity.",I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,"Based on the above explanation, which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible)","From this explanation, I understand how the tool predicts underweight.",I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021606""}","{""ImportId"":""QID1211021605""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021599""}","{""ImportId"":""QID1211021591""}","{""ImportId"":""QID1211021550""}","{""ImportId"":""QID1211021603""}","{""ImportId"":""QID1211021604""}","{""ImportId"":""QID1211021607""}","{""ImportId"":""QID1211021549""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211021574""}","{""ImportId"":""QID1211021575""}","{""ImportId"":""QID1211021577""}","{""ImportId"":""QID1211021578""}","{""ImportId"":""QID1211021579""}","{""ImportId"":""QID1211021580""}","{""ImportId"":""QID1211021581""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021583""}","{""ImportId"":""QID1211021584""}","{""ImportId"":""QID1211021586""}","{""ImportId"":""QID1211021587""}","{""ImportId"":""QID1211021588""}","{""ImportId"":""QID1211021589""}","{""ImportId"":""QID1211021590""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021614""}","{""ImportId"":""QID1211021615""}","{""ImportId"":""QID1211021618""}","{""ImportId"":""QID1211021619""}","{""ImportId"":""QID1211021620""}","{""ImportId"":""QID1211021621""}","{""ImportId"":""QID1211021622""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021560""}","{""ImportId"":""QID1211021561""}","{""ImportId"":""QID1211021562""}","{""ImportId"":""QID1211021563""}","{""ImportId"":""QID1211021552""}","{""ImportId"":""QID1211021553""}","{""ImportId"":""QID1211021554""}","{""ImportId"":""QID1211021555""}","{""ImportId"":""QID1211021556""}","{""ImportId"":""QID1211021557""}","{""ImportId"":""QID1211021558""}","{""ImportId"":""QID1211021559""}","{""ImportId"":""QID1211021564""}","{""ImportId"":""QID1211021565""}","{""ImportId"":""QID1211021566""}","{""ImportId"":""QID1211021567""}","{""ImportId"":""QID1211021568""}","{""ImportId"":""QID1211021569""}","{""ImportId"":""QID1211021570""}","{""ImportId"":""QID1211021571""}","{""ImportId"":""QID1211021551_TEXT""}","{""ImportId"":""QID1211021601_TEXT""}","{""ImportId"":""QID1211021600""}","{""ImportId"":""QID1211021572""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2023-03-07 03:39:51,2023-03-07 03:47:24,IP Address,109.173.234.173,100,452,True,2023-03-07 03:47:25,R_1f3iKPqe2YGfXp1,,,,,52.4052,16.9339,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,7.738,36.728,37.421,5,Healthy,Somewhat agree,"Gender,Age,Physical activity frequency,Consumption of alcohol,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,3.53,16.984,17.373,9,Obesity,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Consumption of alcohol",Somewhat agree,Neither agree nor disagree,Obesity,Somewhat agree,11.097,34.638,35.24,9,Overweight,Somewhat agree,"Age,Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Neither agree nor disagree,17.725,52.354,53.048,9,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of daily water",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,19.966,47.386,47.819,10,5,5,5,6,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,it focuses on main risk factors and their corelation between with one another,hard to say,Somewhat agree,Agree,59cfe8f223b3e500018f51c1,63dcdbbf786e49d5d86b42de,640714730743d4d149fd37ae
2023-03-07 03:39:27,2023-03-07 03:48:27,IP Address,83.11.16.35,100,539,True,2023-03-07 03:48:27,R_2TSi6d4ATWrBwXM,,,,,53.4286,14.5475,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,11.388,51.418,54.082,2,Healthy,Somewhat disagree,"Frequency of consumption of vegetables,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,7.28,27.586,28.595,10,Overweight,Somewhat disagree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Consumption of food between meals,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Neither agree nor disagree,Overweight,Neither agree nor disagree,22.607,59.691,60.75,12,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,20.723,37.398,38.739,8,Healthy,Somewhat agree,"Height,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Physical activity frequency",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,12.027,36.529,37.523,9,4,4,3,5,I agree somewhat,I agree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,based od previous data,risk factors explained,Somewhat agree,Somewhat agree,5d43404f1e6eef00011dec22,63dcdbbf786e49d5d86b42de,6407145afc0077ab15ff43d4
2023-03-07 03:40:44,2023-03-07 03:49:35,IP Address,5.249.105.135,100,530,True,2023-03-07 03:49:36,R_xyBhNYXmOWgSL97,,,,,38.731,-9.1373,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,20.074,62.116,63.449,2,Healthy,Strongly agree,"Age,Frequency of consumption of vegetables,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,25.127,62.55,63.108,9,Healthy,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food",Strongly agree,Strongly agree,Overweight,Strongly agree,7.113,14.965,15.699,7,Overweight,Somewhat agree,"Height,Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,7.619,26.754,27.409,9,Healthy,Strongly agree,"Height,Frequent consumption of high caloric food,Physical activity frequency",Somewhat disagree,Somewhat disagree,Healthy,Somewhat agree,26.854,52.94,53.643,10,6,6,5,6,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,The AI predicts based on some criteria standards.,"The explanation showed me clearly how the AI would work. No doubts about that! What was bad? Well it was clear, but i think theres something missing, which is the current weight.",Strongly agree,Agree,5fa863ce4a7c416f9f2671bd,63dcdbbf786e49d5d86b42de,640714a6d2885ec84b3d7316
2023-03-07 03:39:45,2023-03-07 03:49:37,IP Address,46.212.40.127,100,591,True,2023-03-07 03:49:37,R_UWtanB9hOshgJYR,,,,,59.955,10.859,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,10.94,121.666,122.361,3,Healthy,Strongly agree,"Gender,Age,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Strongly agree,21.325,57.682,58.452,11,Overweight,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,6.405,24.542,26.065,10,Overweight,Somewhat agree,"Age,Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,11.116,30.63,33.379,7,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of daily water",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,10.803,35.492,36.333,14,5,5,4,4,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,It made its predictions based on a series of factors about a person's lifestyle.,"the explanation was good, it was clear and made sense to me.",Agree,Agree,5d372adaf9902a00015c3945,63dcdbbf786e49d5d86b42de,6407146d6bb0c34b5baacd40
2023-03-07 03:39:54,2023-03-07 03:49:45,IP Address,146.232.218.161,100,591,True,2023-03-07 03:49:46,R_padVQiAlK7KdF5f,,,,,-33.9304,18.846,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,22.968,85.655,87.238,2,Healthy,Strongly agree,"Gender,Age,Number of main meals,Physical activity frequency,Transportation used",Strongly agree,Somewhat agree,Healthy,Strongly agree,8.979,33.298,34.083,9,Overweight,Somewhat agree,"Age,Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency,Consumption of alcohol",Strongly agree,Somewhat agree,Overweight,Somewhat agree,13.362,34.631,35.541,10,Overweight,Somewhat agree,"Gender,Age,Family member has overweight,Physical activity frequency",Strongly agree,Somewhat agree,Obesity,Somewhat agree,30.032,69.128,69.743,9,Healthy,Somewhat agree,"Age,Height,Frequent consumption of high caloric food,Consumption of daily water",Somewhat agree,Somewhat disagree,Healthy,Somewhat agree,19.025,48.864,50.182,9,5,6,4,4,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree strongly,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,"It predicts based on family history, habits, age, and gender","Everything was well explained, I think the tool might be a bit biased and too generalised.",Somewhat agree,Somewhat agree,611e25b39724f47936d0dcab,63dcdbbf786e49d5d86b42de,640714647150ba2359ff441a
2023-03-07 03:39:58,2023-03-07 03:50:48,IP Address,188.250.83.211,100,649,True,2023-03-07 03:50:49,R_T0IZHYAVHxE89sR,,,,,41.5515,-8.4204,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,5.766,59.676,63.684,3,Healthy,Somewhat agree,"Gender,Age,Calories consumption monitoring,Physical activity frequency,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,11.903,30.376,30.843,13,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency,Consumption of alcohol,Transportation used",Somewhat disagree,Somewhat disagree,Obesity,Somewhat agree,15.217,36.477,36.866,12,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Neither agree nor disagree,Obesity,Somewhat agree,20.732,48.845,49.562,7,Healthy,Strongly agree,"Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Somewhat disagree,Somewhat disagree,Healthy,Neither agree nor disagree,16.136,58.235,60.574,17,3,4,3,3,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I disagree somewhat,I disagree strongly,I disagree somewhat,I disagree somewhat,I'm neutral about it,I disagree somewhat,I disagree strongly,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,"She follows the criteria found on previous cases. So it basicly checks if there's weekly physical activity, the food consumption / type of food, water consumption, previous cases of obesity in the family, smoking/drinking, gender ... and therefore it makes a decision. ","It's still not bright (in some cases) if the person is overweight/obese, or if the person is healthy or underweight.",Somewhat agree,Somewhat agree,607eaaad77aa82a7a32b9c74,63dcdbbf786e49d5d86b42de,64071479724c1211e92c33b2
2023-03-07 03:38:41,2023-03-07 03:50:54,IP Address,193.136.24.133,100,732,True,2023-03-07 03:50:55,R_3KGtN2EvA7UX6IP,,,,,41.1691,-8.6793,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,27.103,204.908,206.663,2,Healthy,Strongly agree,"Gender,Age,Consumption of daily water,Calories consumption monitoring,Consumption of alcohol,Transportation used",Strongly agree,Strongly agree,Healthy,Strongly agree,26.37,55.193,56.192,11,Overweight,Somewhat agree,"Frequent consumption of high caloric food,Calories consumption monitoring,Transportation used",Strongly agree,Strongly agree,Overweight,Strongly agree,5.085,16.421,17.522,9,Healthy,Strongly agree,"Age,Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat disagree,Overweight,Strongly agree,12.721,32.785,33.498,7,Healthy,Somewhat agree,"Age,Consumption of daily water,Physical activity frequency,Transportation used",Strongly agree,Strongly agree,Underweight,Strongly agree,10.951,24.79,25.575,8,5,6,6,6,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,"Combines a lot of factors such as age, calories intake, family members that are abese and predicts based in them.","The percentage was cool. Some assumptions were just not right. The obese person, for example. ",Agree,Agree,5e148bbf53e846ab9d18d421,63dcdbbf786e49d5d86b42de,6407142ba0932e98e8f09514
2023-03-07 03:40:13,2023-03-07 03:51:48,IP Address,41.160.62.194,100,695,True,2023-03-07 03:51:49,R_OK9OSiA3788fJXX,,,,,-26.3811,27.8376,anonymous,EN,Based on weight and height,Selecting five individuals from a historical dataset at random and calculating the average.,49.713,123.313,125.179,2,Obesity,Somewhat agree,Physical activity frequency,Neither agree nor disagree,Somewhat disagree,Overweight,Somewhat agree,22.611,41.649,42.75,5,Overweight,Somewhat agree,Consumption of food between meals,Somewhat agree,Neither agree nor disagree,Overweight,Strongly agree,20.644,32.251,33.473,5,Healthy,Somewhat disagree,Physical activity frequency,Somewhat agree,Somewhat agree,Overweight,Somewhat agree,43.905,62.326,63.159,5,Healthy,Somewhat agree,Consumption of daily water,Somewhat agree,Somewhat agree,Underweight,Somewhat agree,15.652,25.425,26.663,5,4,2,3,3,I agree somewhat,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"Physical activity, family history, consumption of high cloric food","The explantion is not extensive, it would be helpful to have a broader explanation. ",Strongly agree,Agree,60ce038ef5cec7f1cb716182,63dcdbbf786e49d5d86b42de,64071488546d6bc52c1f1e63
