,local_surrogate,representation,Sex,Age,Nationality,Highest_education_level_completed,Ethnicity_simplified,QT.1,QT.2,QT.3,QT.4,trust,Duration_in_seconds,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,understanding,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,satisfaction,b_precision_understanding,b_recall_understanding,b_top_understanding,b_trust,b_ord_trust,increased_trust_after_xai,perceived_trust_in_xai,perceived_understanding_in_xai,time,domain
0,3,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,6,5,4,5,5.0,402.0,4,3,4,3,3,4,4,3,3.5,4,4,4,3,4,3,2,2,3.25,0.2777777777777778,0.3402777777777778,0.25,1.0,0.5,0.0,4.0,4.0,22.56525,Obesity
1,3,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,6,7,6,7,6.5,530.0,5,4,5,4,5,3,5,5,4.5,5,5,5,4,5,3,5,4,4.5,0.3333333333333333,0.14166666666666666,0.16666666666666666,,0.0,0.25,4.5,4.25,27.38975,Obesity
2,3,2,Female,26,United Kingdom,3,Asian,5,5,5,5,5.0,499.0,4,4,4,4,4,4,4,4,4.0,5,5,5,5,5,4,3,3,4.375,0.3333333333333333,0.3972222222222222,0.41666666666666663,0.3333333333333333,0.5,0.5,3.75,4.0,39.700250000000004,Obesity
3,3,2,Male,25,South Africa,0,Black,6,7,6,6,6.25,549.0,4,5,4,5,4,5,4,4,4.375,4,5,4,3,2,4,5,4,3.875,0.2409722222222222,0.7166666666666667,0.8333333333333333,0.75,1.25,-0.75,4.25,3.75,44.497,Obesity
4,3,2,Female,22,Poland,0,White,6,6,6,6,6.0,668.0,4,4,3,4,3,4,4,3,3.625,4,4,4,3,4,4,4,4,3.875,0.34980158730158734,0.7097222222222223,0.6666666666666666,0.3333333333333333,0.25,-0.5,4.0,3.75,42.63175,Obesity
5,3,2,Female,27,Portugal,2,White,5,5,5,5,5.0,619.0,4,4,3,4,4,4,4,4,3.875,4,4,4,4,4,4,4,4,4.0,0.5,0.40694444444444444,0.49999999999999994,0.5,0.25,0.25,3.75,3.75,27.74825,Obesity
6,3,2,Male,39,Portugal,3,White,4,6,3,5,4.5,790.0,2,3,1,5,5,3,4,5,3.5,5,2,1,2,4,2,2,5,2.875,0.3819444444444444,0.5722222222222222,0.49999999999999994,1.0,0.5,0.75,4.75,4.75,50.28775,Obesity
7,3,2,Male,25,South Africa,2,Black,7,5,4,5,5.25,854.0,5,4,4,3,4,3,4,4,3.875,4,5,5,4,3,3,5,3,4.0,0.37499999999999994,0.3652777777777778,0.41666666666666663,0.6666666666666666,0.5,0.0,4.0,3.5,57.68674999999999,Obesity
8,3,2,Male,29,South Africa,2,White,5,5,4,4,4.5,802.0,4,4,2,3,4,4,4,4,3.625,4,4,2,2,2,4,2,4,3.0,0.30833333333333335,0.5597222222222222,0.5833333333333333,0.0,0.0,0.25,3.25,3.75,66.95525,Obesity
9,3,2,Female,28,South Africa,2,Black,3,1,2,2,2.0,760.0,2,2,2,2,2,2,2,3,2.125,3,2,2,2,2,2,2,2,2.125,0.20833333333333331,0.2263888888888889,0.3333333333333333,0.0,-0.25,0.25,2.75,2.75,48.8725,Obesity
